# mc delta_mc R14 log_alpha_dyn log_f_disk beta_phi theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185918561457404596e+00 1.814662250295449586e-01 1.537949246429417727e+01 2.591825051039876593e-01 -1.233112203581799626e+00 3.682743174287235188e-01 5.952194725828471533e+00 2.414041668254427939e-02 1.092114434975452984e-02 5.429961476581728341e+00 2.177363349977766080e-02 1.453847689145235933e-01 2.592639216601114877e-02 1.453847689145235933e-01 -3.862977215819853427e+00 -3.489277489419156275e+00 2.038952485717884144e+01 3.418174919321037596e-05
1.185946480113762469e+00 1.719871347308932208e-01 1.681599806678899256e+01 8.273460647879727903e-01 -1.299864156968139950e+00 7.738428129156948998e-02 5.450192893494707924e+00 2.452032317035649986e-02 7.995403092060307179e-03 7.917295556996214678e+00 2.256811379208620294e-02 1.549306702203986086e-01 2.729949103060849008e-02 1.549306702203986086e-01 -5.442857245810841960e+00 -3.780525241943893722e+00 2.038952485717884144e+01 5.262278299657832626e-06
1.185945788695065950e+00 1.623240737254503796e-01 1.519939269272813220e+01 3.273599854079325411e-01 -1.185299575830085939e+00 4.554162551674093562e-01 5.192255453759633710e+00 1.808208258175174679e-02 1.906377139466801721e-02 1.076667114090878208e+01 2.040207289988170067e-02 1.438648836652053342e-01 2.705334472097180656e-02 1.438648836652053342e-01 -3.528583761531592700e+00 -3.935962150592366537e+00 2.038952485717884144e+01 3.055109859173999604e-05
1.185943121770982600e+00 1.832672755765763217e-01 1.459606292501912073e+01 1.239084952289589703e-01 -1.171578199724844227e+00 5.757120381896745354e-01 5.618043779214262123e+00 2.214854306690744803e-02 1.302340421949551956e-02 1.711089381069158977e+00 2.016878506558413692e-02 1.383489063823776788e-01 2.577972011796822796e-02 1.383489063823776788e-01 -1.141154738085958797e+00 -3.678438010758179555e+00 2.038952485717884144e+01 4.302445675295562101e-04
1.185931504583512819e+00 1.794056038650583551e-01 1.505371205093717357e+01 1.867055924481820783e-01 -1.173369329353302071e+00 4.547098685656543182e-01 4.854739332392045803e+00 2.322797985416392291e-02 1.031270236281984706e-02 8.900459171585884732e+00 1.985618816810132484e-02 1.427823862978990499e-01 2.792761221160994234e-02 1.427823862978990499e-01 -5.579639947460407257e+00 -4.130950703896058229e+00 2.038952485717884144e+01 3.232823507087313456e-06
1.186016180655131702e+00 1.981673358263464080e-01 1.508833095110756162e+01 5.519319910196174295e-02 -1.205846041790742840e+00 4.734362361168911737e-01 5.594155821206087786e+00 3.173256725876310441e-02 1.527309373201865376e-02 7.386241443208282575e+00 1.836400240638508263e-02 1.381345505107743898e-01 2.696707211057142520e-02 1.381345505107743898e-01 -1.795441277096472277e+00 -3.685052106449019593e+00 2.038952485717884144e+01 2.221722926751997765e-04
1.185948497169716953e+00 1.774925259007609502e-01 1.365430644180591102e+01 6.108544526130577079e-02 -1.056290572057197563e+00 6.936298707475786474e-01 5.812766437429946365e+00 2.231085663555018236e-02 1.573872426181335479e-02 1.209378595617369356e+01 1.912182996451021466e-02 1.406198585237249943e-01 2.638611422311359575e-02 1.406198585237249943e-01 -2.522357868382187007e+00 -3.569756163405225280e+00 2.038952485717884144e+01 1.205220261384382113e-04
1.185956819365959758e+00 1.711889199585868160e-01 1.587582543185833472e+01 3.976163140073729063e-01 -1.253675693361949950e+00 3.685946601547631096e-01 5.427654951809953054e+00 2.322951879991390703e-02 1.397065978746278060e-02 8.269077462601680750e+00 2.011779866733942601e-02 1.424374704446589313e-01 2.643416378197534569e-02 1.424374704446589313e-01 -2.768822085264275756e+00 -3.793982276804603870e+00 2.038952485717884144e+01 7.527455746771138153e-05
1.185935036938341902e+00 1.688957425313987459e-01 1.631803278460567697e+01 5.934066161239477388e-01 -1.271637717684174662e+00 1.855626019774210822e-01 5.283695521653947402e+00 1.193960852018761780e-02 2.390458858978591894e-02 3.084445957317188736e+00 2.155059403608339252e-02 1.519894958607287960e-01 2.706218464767967680e-02 1.519894958607287960e-01 -3.800172753623485278e+00 -3.879291905801902640e+00 2.038952485717884144e+01 2.464272926409089324e-05
1.185974000943092355e+00 1.672545166337459366e-01 1.437261735637367188e+01 1.960660254940234104e-01 -1.131580308204445329e+00 5.793020202804627372e-01 5.777938696865517088e+00 1.027703233569496680e-02 2.961980326012319045e-02 6.622440903196305406e+00 2.084490688321540691e-02 1.424457399454646944e-01 2.596119278576201200e-02 1.424457399454646944e-01 -4.230475921877996370e-01 -3.593888539928328907e+00 2.038952485717884144e+01 9.600740581844994246e-04
1.186016785968189602e+00 2.108487965920725349e-01 1.590212015162051884e+01 1.124912732236557078e-01 -1.285743975692726027e+00 2.869069147654802476e-01 5.547406419400890520e+00 3.141737219985414609e-02 2.364795521862066846e-02 1.700167010313775595e+00 1.996870422371601825e-02 1.404187750364004617e-01 2.609244677825208261e-02 1.404187750364004617e-01 -1.317626842773108820e+00 -3.705537609794152143e+00 2.038952485717884144e+01 3.509985544135588880e-04
1.185964738914615291e+00 1.778978883095632402e-01 1.700784643696866638e+01 7.604339963670950775e-01 -1.325646533005923056e+00 2.960427939253851282e-01 5.614642786964424204e+00 1.547438618818225767e-02 2.446729571934779662e-02 1.422832711122055294e+01 1.914536175017371444e-02 1.365349316746711783e-01 2.655749343633579188e-02 1.365349316746711783e-01 -1.555213220358893977e+00 -3.682782077210443816e+00 2.038952485717884144e+01 2.831427705410223799e-04
1.185954093441805579e+00 1.813869862199609106e-01 1.389347749115857589e+01 1.261667240832297088e-01 -1.080513739316820487e+00 6.477237589510000948e-01 5.132948461606677171e+00 1.949903262188533090e-02 1.657964878703545655e-02 1.087688632542825218e+01 2.239243687557308099e-02 1.408021112450987544e-01 2.688174951802748194e-02 1.408021112450987544e-01 -5.277021700781290292e+00 -3.963050973571341729e+00 2.038952485717884144e+01 5.175178768498257047e-06
1.185962745567361365e+00 1.683861465964386350e-01 1.608479937983763364e+01 4.639960300634664581e-01 -1.275926679257151974e+00 3.422288404810605034e-01 5.417300488509506629e+00 2.019275049805990818e-02 1.534131554266636097e-02 4.365141334046605870e+00 1.917012040534137041e-02 1.428866476686697085e-01 2.584714397627753749e-02 1.428866476686697085e-01 -1.402261362695298885e+00 -3.801190983044171467e+00 2.038952485717884144e+01 2.930942447708262031e-04
1.185957454589002369e+00 1.742251362152247851e-01 1.483198716306110221e+01 1.643439203096662693e-01 -1.175011577668646057e+00 5.107862633556186083e-01 6.032394134618326298e+00 2.813502731819431807e-02 4.758827614732741469e-03 1.260391071653865858e+01 1.878584972087957855e-02 1.417910106853055296e-01 2.636678886418504161e-02 1.417910106853055296e-01 -3.975679594726159394e+00 -3.447500011641277062e+00 2.038952485717884144e+01 3.184138794225433887e-05
1.185951105868984667e+00 1.513287892757370634e-01 1.635676713409201710e+01 8.703539749727016162e-01 -1.270910906531065310e+00 3.516201382586345292e-01 5.487529015088878914e+00 2.035075172662451429e-02 9.741100776792459282e-03 7.755654072031502366e+00 1.889837508676231459e-02 1.426103230673797517e-01 2.658279235219084685e-02 1.426103230673797517e-01 -7.700012644524463212e-01 -3.767050906250431819e+00 2.038952485717884144e+01 5.707175260661678318e-04
1.185974233552346435e+00 1.552368946138796002e-01 1.540549449057120057e+01 3.723151623627002360e-01 -1.187201484538473739e+00 5.325939930887688689e-01 5.751260194431516481e+00 1.654769329069705891e-02 1.977646467468259159e-02 9.755479076845094966e+00 1.811088232251907917e-02 1.376655514418252402e-01 2.763413628656764473e-02 1.376655514418252402e-01 -4.695099924609166919e+00 -3.613854536455194388e+00 2.038952485717884144e+01 1.313121337527756558e-05
1.185942222140728086e+00 1.672165280109399466e-01 1.559941534360886983e+01 3.943195136841232129e-01 -1.226707356342372268e+00 3.355431641626552275e-01 5.431949368676724177e+00 1.179788480366643529e-02 2.689842565126539936e-02 3.274787304241227659e+00 2.149019225529814545e-02 1.479598708551267960e-01 2.668757118935869213e-02 1.479598708551267960e-01 -2.143682627733880963e+00 -3.793152451566685457e+00 2.038952485717884144e+01 1.407677653509030176e-04
