# mc delta_mc R14 log_alpha_dyn log_f_disk theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185924449535254999e+00 1.578933209358271972e-01 1.932497006436672393e+01 1.206248778042547709e+00 -8.427590750934131902e-01 6.012328578844534199e+00 1.263289612309451311e-02 2.034800160943202318e-02 2.756835988413205651e+00 1.840128608982211089e-02 1.434190007243394405e-01 2.536484496208517292e-02 1.434190007243394405e-01 -9.193768820357206550e+00 -1.791464142555829975e+00 1.962632995089770205e+01 2.336409266448407469e-07
1.186055599827393170e+00 1.077267738937633806e-01 2.161604615579912192e+01 1.622445518451925306e+00 -8.404859598525376008e-01 5.688944915101395772e+00 2.000343117149934805e-02 1.069860289318511244e-02 1.690499167682231985e+01 1.756366662465295644e-02 1.390660970203249081e-01 2.553143025976345112e-02 1.390660970203249081e-01 -3.106624767693460853e+00 -1.990668559275051708e+00 1.962632995089770205e+01 8.426526942268984023e-05
1.186065381176224065e+00 1.087154916812325262e-01 2.198824261781107836e+01 1.740743139441689236e+00 -8.342702220227004029e-01 5.490863758858560928e+00 2.009034170761795496e-02 1.113380706046778260e-02 1.067135338465437577e+01 2.138585466554324133e-02 1.369656774085116213e-01 2.590121559072544252e-02 1.369656774085116213e-01 -2.350845287089498470e+00 -2.104575205085833733e+00 1.962632995089770205e+01 1.601070456820612869e-04
1.185976707207440528e+00 1.674343625260635848e-01 1.980536807666631915e+01 1.169759846353495947e+00 -8.137249927945924277e-01 5.212183088177096302e+00 2.286048962806319293e-02 1.173337863509048458e-02 1.996781155242240047e+01 1.720510249585355256e-02 1.379121112819955419e-01 2.712337595755822880e-02 1.379121112819955419e-01 -4.627071145748402614e+00 -2.248085538668488148e+00 1.962632995089770205e+01 1.424073378925721717e-05
1.186072633973963342e+00 1.129894257216525061e-01 1.992483991461929804e+01 1.485484238953910019e+00 -8.210192929630333314e-01 5.633991722084455311e+00 2.046660509134742151e-02 1.181618939654193075e-02 3.991459215272830097e+00 1.946131813603099378e-02 1.479753597818017630e-01 2.668772531807492299e-02 1.479753597818017630e-01 -2.228038418687788180e+00 -2.020761063233345922e+00 1.962632995089770205e+01 1.968542559246346435e-04
1.186072974037376992e+00 1.086916007613687313e-01 2.138476393486196869e+01 1.588488247554193267e+00 -8.332282505919353932e-01 5.692309058965672186e+00 1.853748657700143160e-02 1.202299668708366187e-02 1.726546545672620425e+01 1.722837669865499161e-02 1.401520475932148679e-01 2.596028646766355280e-02 1.401520475932148679e-01 -2.348232629568656193e+00 -1.988474822784728202e+00 1.962632995089770205e+01 1.802880170570960166e-04
1.186059379289127635e+00 1.041567553442363514e-01 2.190113099312459255e+01 1.676956868395279354e+00 -8.102673183576184490e-01 5.308484577948315852e+00 8.030419119040342266e-03 2.565137033501967492e-02 7.145521226254357927e+00 1.820048094227184193e-02 1.381452723387308623e-01 2.737306304859142558e-02 1.381452723387308623e-01 -2.602453783338376070e+00 -2.212269948037223433e+00 1.962632995089770205e+01 1.117807527290997580e-04
1.185992656617431473e+00 1.538298483968308095e-01 1.923118481622407927e+01 1.232495092319607188e+00 -8.201029305523558355e-01 5.640449070093302097e+00 1.367489776291775684e-02 2.037621255858555747e-02 1.895998636446127039e-01 1.899920097776497396e-02 1.449688367722909987e-01 2.672286555163495142e-02 1.449688367722909987e-01 -7.278489194966482501e+00 -2.003799518672640723e+00 1.962632995089770205e+01 1.282709202449596770e-06
1.186051811612649720e+00 1.099202310527464949e-01 2.096809117080604068e+01 1.554244904754750412e+00 -8.171959748528890843e-01 4.999425004903116587e+00 2.080411904912314244e-02 9.873467871285034059e-03 1.804927333046217086e+01 1.763686666700670785e-02 1.422570645344239937e-01 2.693365399889010442e-02 1.422570645344239937e-01 -3.696584553139871332e+00 -2.394311058415913074e+00 1.962632995089770205e+01 3.119842172072630806e-05
1.186055883872251693e+00 1.145862977167550478e-01 2.173871041176252561e+01 1.583180423354129340e+00 -8.235967529404183418e-01 5.271196237526769579e+00 2.291139981692074182e-02 7.402258966662704845e-03 1.320954694993077050e+00 1.647279344924424196e-02 1.372739926631434404e-01 2.654379358166582964e-02 1.372739926631434404e-01 -2.815201743469629037e+00 -2.231442702419170754e+00 1.962632995089770205e+01 8.864314237293069020e-05
1.186008863439258709e+00 1.613690201404898439e-01 1.909597054956681816e+01 1.273159998598198062e+00 -8.395379393889083053e-01 5.474681278970102483e+00 4.884518281202234261e-03 3.489555498078032725e-02 9.514598404818498167e+00 2.360938038606440886e-02 1.442939428029238469e-01 2.554768727099641229e-02 1.442939428029238469e-01 -8.525753531294867571e+00 -2.096625193228879969e+00 1.962632995089770205e+01 3.358416179478983297e-07
1.186063635385177450e+00 1.133621735919316670e-01 2.144532239467240942e+01 1.631224080550500721e+00 -8.374235707747461621e-01 5.679701486471683047e+00 2.180154029633907253e-02 1.007952261270472771e-02 9.319604747244515153e+00 1.945114677057021776e-02 1.390520123622847048e-01 2.571054678512645422e-02 1.390520123622847048e-01 -1.966473561860368591e+00 -1.994441203484728975e+00 1.962632995089770205e+01 2.625255351001072341e-04
1.186066981936280129e+00 1.080961709220046446e-01 2.085521778111798596e+01 1.581469323965564611e+00 -8.084888894882873434e-01 4.754284654056713855e+00 2.170378679254444595e-02 8.981707793590235425e-03 1.975752345363148876e+01 1.899078400940537939e-02 1.431891257247602800e-01 2.747848219158349758e-02 1.431891257247602800e-01 -4.791526509774030274e+00 -2.543072941633306883e+00 1.962632995089770205e+01 8.994953229789029740e-06
1.186061437950130193e+00 1.078349577199423232e-01 2.081254225490715726e+01 1.562845916362172405e+00 -8.190180353747169573e-01 5.505093667376737443e+00 1.183788557371120119e-02 2.043736856818331379e-02 7.286927139419037580e+00 1.833120120291632793e-02 1.434732099611436551e-01 2.682001562367228309e-02 1.434732099611436551e-01 -2.052511538796068180e+00 -2.096555562697875352e+00 1.962632995089770205e+01 2.174993838657572815e-04
1.186067202646214680e+00 1.142978452741794937e-01 1.844310839500796106e+01 1.435705821686523942e+00 -8.459289405454419875e-01 5.800649177298871528e+00 1.746471555937917017e-02 1.560719688189474673e-02 1.286015834563627225e+00 2.440356792995316063e-02 1.578179172830652677e-01 2.517647052227776905e-02 1.578179172830652677e-01 -6.728907475263724791e+00 -1.925191507544272485e+00 1.962632995089770205e+01 2.404072408937239686e-06
1.185933277177441125e+00 1.876414648607074853e-01 1.827364199045548787e+01 9.505048927609738296e-01 -8.335551069362550081e-01 5.853862363716060280e+00 1.151958286921016955e-02 2.829244532540836979e-02 8.018133348343981837e+00 1.971248965856493146e-02 1.443981433548220394e-01 2.586232292599292826e-02 1.443981433548220394e-01 -4.324285310006303007e+00 -1.867904517804907849e+00 1.962632995089770205e+01 2.819298791157837610e-05
1.186066208867503580e+00 1.084363078878617936e-01 2.164009905809232848e+01 1.656792899570568522e+00 -8.265219194284697535e-01 5.841751616381361423e+00 1.998037429740246243e-02 1.101683115161316943e-02 1.229165783514598864e+01 1.900955746013631431e-02 1.388250129951490441e-01 2.636574333634561854e-02 1.388250129951490441e-01 -1.182614385900365050e+00 -1.903467381986344797e+00 1.962632995089770205e+01 6.296608564426976707e-04
1.186071734467786909e+00 1.141457568821037522e-01 2.035748082758401978e+01 1.533396035405336422e+00 -8.200917852841720368e-01 5.663597505745966210e+00 1.078193934848370797e-02 2.488578129470183503e-02 6.623152020146125807e+00 1.991660190616530504e-02 1.451313796880626672e-01 2.674904845425377098e-02 1.451313796880626672e-01 -8.318265019661907900e-01 -2.003447383971850737e+00 1.962632995089770205e+01 8.091539804748337653e-04
1.186058566042432094e+00 1.121069956582638610e-01 2.085989634560491268e+01 1.584939685601851611e+00 -8.295940452960435252e-01 5.881023101110605111e+00 2.262130839519140360e-02 7.241105902613084386e-03 6.276194965352119404e+00 1.972491982537641006e-02 1.425175476067557234e-01 2.617457415612883115e-02 1.425175476067557234e-01 -1.464491345916712817e+00 -1.880280637155876233e+00 1.962632995089770205e+01 4.861373203472392794e-04
1.186063911778215685e+00 1.119237010749478123e-01 2.186821868731767537e+01 1.673645892812377411e+00 -8.141285065338015325e-01 5.745142591519064368e+00 2.256684248222496497e-02 7.741673680245821608e-03 7.478464614090804652e+00 1.929508253531825313e-02 1.370505727221662529e-01 2.712982115781693848e-02 1.370505727221662529e-01 -1.323333720524885848e+00 -1.957435053802497382e+00 1.962632995089770205e+01 5.182689649668671596e-04
1.186053498564100694e+00 1.076204953158602651e-01 2.087816203433520812e+01 1.579401952346356053e+00 -8.298032536044243068e-01 5.037475180440074141e+00 2.299157921473627200e-02 7.543410101736872792e-03 1.147676544379562102e+01 1.873627652737906366e-02 1.431320499692403381e-01 2.616267910486975989e-02 1.431320499692403381e-01 -3.368221560319113905e+00 -2.372115143880848098e+00 1.962632995089770205e+01 4.429741906710202369e-05
1.185980362087184270e+00 1.739140665201524549e-01 2.058754417676724202e+01 1.236359255898850762e+00 -8.145949573177555525e-01 5.995272076684603491e+00 2.350116206109038527e-02 9.630177525442483108e-03 1.898674233476736006e+01 1.843870079154180663e-02 1.311676846470667401e-01 2.707794169703720000e-02 1.311676846470667401e-01 -9.338715274482524364e+00 -1.794406089915604241e+00 1.962632995089770205e+01 2.015216931292252731e-07
1.186062599422286867e+00 1.138706745477678917e-01 2.171290334344155326e+01 1.621379003319399770e+00 -8.350130476365467125e-01 5.593991886161379767e+00 1.353233742537952866e-02 1.933190045295427040e-02 2.453720682115775276e+01 1.798700441220696042e-02 1.375338227017528503e-01 2.585506835005004986e-02 1.375338227017528503e-01 -1.253856200955510758e+00 -2.043544011068542332e+00 1.962632995089770205e+01 5.097206890651528833e-04
1.186078234766672290e+00 1.137924064048358025e-01 2.197415296564651754e+01 1.644318858952484419e+00 -8.014534318378507827e-01 5.436634982961116691e+00 2.463101522587799602e-02 5.022650112897974854e-03 6.515495630622744727e+00 1.787884187186678311e-02 1.361843061626366591e-01 2.793362613383162940e-02 1.361843061626366591e-01 -3.034326123503603867e+00 -2.134723108687172743e+00 1.962632995089770205e+01 7.843057880002253805e-05
1.185969885770553178e+00 1.664664343352216802e-01 2.010720323457114134e+01 1.252587304097321885e+00 -8.501554191876736777e-01 5.650263084943483172e+00 1.236042221635785289e-02 2.711397964178409101e-02 6.629717614836382333e-01 1.921225351193947203e-02 1.361251408288832732e-01 2.494559892845600937e-02 1.361251408288832732e-01 -5.764855181685902608e+00 -1.993198650909851155e+00 1.962632995089770205e+01 5.889724878390085302e-06
1.186075369176180505e+00 1.117362796988969481e-01 2.224602595580887865e+01 1.725814658770683740e+00 -8.265078622241217587e-01 5.500361756512451628e+00 2.197538964652421753e-02 8.829787516652361917e-03 5.124718793575184783e+00 1.997083979832664502e-02 1.351521459865707708e-01 2.636920074999499555e-02 1.351521459865707708e-01 -1.835401760262925563e+00 -2.098247322389479752e+00 1.962632995089770205e+01 2.697819490390216020e-04
1.186078211716393049e+00 1.146651033024274347e-01 2.085908041259219914e+01 1.617518925094035165e+00 -8.319298794482886672e-01 5.595744061536827907e+00 8.114094036732383275e-03 2.568914309503808960e-02 1.423443228299886698e+01 2.170670243857062212e-02 1.421007496114752300e-01 2.603381292602024305e-02 1.421007496114752300e-01 -1.635026033325402750e+00 -2.042300486463705766e+00 1.962632995089770205e+01 3.486039971899209788e-04
1.186008212783605131e+00 1.633132723258731989e-01 1.913165520528510655e+01 1.155304578707030405e+00 -8.089309269352242815e-01 5.405423522676771952e+00 2.471485778530450525e-02 9.818306921474352286e-03 7.515229332491740522e+00 1.831024872247801263e-02 1.435988954203057943e-01 2.741304710456260452e-02 1.435988954203057943e-01 -5.292384876914354663e+00 -2.136183291561698283e+00 1.962632995089770205e+01 8.188207019349884704e-06
1.185976286563689808e+00 1.678819647196286013e-01 1.972988392329976648e+01 1.229133675511196122e+00 -8.419148091317124605e-01 5.782478915710338896e+00 1.668583785171040904e-02 2.155354045541578445e-02 7.696315437017687167e+00 2.018264589474267137e-02 1.383199814128268645e-01 2.541737224683327315e-02 1.383199814128268645e-01 -5.009714127779545834e+00 -1.917068113575000066e+00 1.962632995089770205e+01 1.352420276708691534e-05
1.185980392035119957e+00 1.795075481444742271e-01 1.888261618173143930e+01 9.960472258022953218e-01 -8.190340222736448572e-01 5.487390950790887345e+00 8.812682741584195595e-03 3.293036333426040824e-02 1.061334882668188051e+01 1.683599789467684488e-02 1.416103533223211919e-01 2.676806314292203004e-02 1.416103533223211919e-01 -5.021312536763389289e+00 -2.081625694819384087e+00 1.962632995089770205e+01 1.133987060379915000e-05
1.186075608502717982e+00 1.146381785366082096e-01 1.923631039494598838e+01 1.440748840361521843e+00 -8.148614047441756769e-01 5.381244640838180437e+00 9.470399224206895242e-03 2.425772006794168004e-02 6.071865213851171283e+00 2.074361869819313017e-02 1.521914425300385787e-01 2.705912915879305630e-02 1.521914425300385787e-01 -2.987992810967114110e+00 -2.166818570888789708e+00 1.962632995089770205e+01 7.955524908724062691e-05
