# mc delta_mc R14 log_alpha_dyn log_f_disk theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186031714691200722e+00 2.646488442991734580e-01 1.655167413750611871e+01 -3.983537503440603977e-02 -8.167715656081340203e-01 5.784846459702433386e+00 4.999323459064744513e-02 3.554490210039580600e-02 1.416069898637676516e+00 1.706418751682044904e-02 1.388145732679243460e-01 2.650694957126527654e-02 1.388145732679243460e-01 -2.892798192578311500e+00 -3.484707318333869264e+00 1.775529634471435259e+01 9.888913291726826441e-05
1.186038480398667438e+00 2.663031037104204302e-01 1.649457812324636663e+01 -2.784803007254610385e-02 -7.959049518060765660e-01 5.888044052793128813e+00 6.685237274908210903e-02 5.320996311705804109e-03 6.180688792542230026e+00 1.870290369719318849e-02 1.389419361375742179e-01 2.778654783468107944e-02 1.389419361375742179e-01 -4.549812930859445714e+00 -3.425101908440014054e+00 1.775529634471435259e+01 2.001716238244165535e-05
1.186066563633065174e+00 2.464451242844791501e-01 1.651364571496495159e+01 2.486670491327825916e-01 -7.850335837488361390e-01 5.511450880308972344e+00 3.457311635989439996e-02 4.836427810741431715e-02 2.035520298729013078e+00 1.987074011406075175e-02 1.449851729168054604e-01 2.860260774368135472e-02 1.449851729168054604e-01 -7.639211307226617009e+00 -3.653573009342830247e+00 1.775529634471435259e+01 7.252205579229000874e-07
1.186064181352674440e+00 2.627177894048456919e-01 1.586136106265910506e+01 -4.608805097086887681e-03 -8.360813224157589429e-01 5.626455329244193670e+00 4.987355630453488287e-02 3.522056697703901396e-02 1.026472827414507805e+01 2.035116637069818088e-02 1.478098454056453459e-01 2.515865800915770972e-02 1.478098454056453459e-01 -2.988261487695581309e+00 -3.576557236075895929e+00 1.775529634471435259e+01 8.199728526815743847e-05
1.186053805651072324e+00 2.650395272274713165e-01 1.740578951089964832e+01 4.455336610532090180e-02 -8.170715555675363007e-01 5.699624267574942671e+00 5.857096155932191989e-02 2.069984514269562759e-02 1.069392917939888044e+01 1.733952407025540418e-02 1.292157650252663270e-01 2.664500288865481389e-02 1.292157650252663270e-01 -5.292553550976549559e+00 -3.533024750315292284e+00 1.775529634471435259e+01 8.549959642054391602e-06
1.186168199370802867e+00 2.886908479522130588e-01 1.603008725173959448e+01 -3.823281785457169901e-01 -8.013018023403312151e-01 5.454180458553746114e+00 8.545619150460320723e-02 1.484275583488565281e-02 7.432552266883718950e+00 1.979970025682377399e-02 1.371938913998250742e-01 2.707908718807779808e-02 1.371938913998250742e-01 -2.778501927929710291e+00 -3.657507407334222194e+00 1.775529634471435259e+01 9.326972168265214639e-05
1.186127804324866863e+00 2.787329567538955333e-01 1.670967349426802073e+01 -1.924871220884168954e-01 -8.232763346277072181e-01 6.216190379277503730e+00 5.946910901575559738e-02 4.548054997582598458e-02 7.658324024647523487e+00 1.837898763344063616e-02 1.321948134671019348e-01 2.606651630958378360e-02 1.321948134671019348e-01 -1.079138871171909386e+01 -3.233166477161720120e+00 1.775529634471435259e+01 4.721468438710418964e-08
1.186067361021445388e+00 2.469054979416349105e-01 1.641133077935831608e+01 2.768725451846395513e-01 -8.207382381165637675e-01 5.733674648682988817e+00 5.399906530023395462e-02 2.362418414705785841e-02 1.311311563246370326e+01 2.196025521512631404e-02 1.460063008488875491e-01 2.632146290038602648e-02 1.460063008488875491e-01 -5.354741190625134095e+00 -3.525481796109292354e+00 1.775529634471435259e+01 8.095285678706183388e-06
1.186162995061698977e+00 2.909749338165796839e-01 1.530877732532161239e+01 -5.086353340123743738e-01 -7.772727275659546686e-01 5.588882289518960711e+00 6.404126065088293351e-02 5.558650181209472824e-02 3.500581976429748554e+00 1.896332910406911196e-02 1.463768471913753366e-01 2.805969654966181115e-02 1.463768471913753366e-01 -4.113500130078364236e+00 -3.577766230625716304e+00 1.775529634471435259e+01 2.658211186522855420e-05
1.186178170085118611e+00 3.204769764593585757e-01 1.509810210530188890e+01 -1.091674624390873261e+00 -8.005597867085548769e-01 5.550192884825532857e+00 8.222038719546248542e-02 2.572967843682701788e-02 4.472843479668855871e+00 1.878203543612818119e-02 1.396163857721339774e-01 2.554728535822034172e-02 1.396163857721339774e-01 -3.182083926562313536e+00 -3.576200346281437348e+00 1.775529634471435259e+01 6.757381737997281363e-05
1.186066496076160659e+00 2.532645271086433336e-01 1.637680056935924000e+01 1.632225555607327294e-01 -8.361565526979176655e-01 5.966038782855624945e+00 3.825016157710910136e-02 4.970190200323126861e-02 1.549766253120332316e+01 2.026547278235455579e-02 1.444708549714076584e-01 2.536670232593774693e-02 1.444708549714076584e-01 -4.138338045898365181e+00 -3.389891698625649763e+00 1.775529634471435259e+01 3.128926662722286852e-05
1.186158864563841675e+00 2.880758362810448281e-01 1.532209904442659898e+01 -3.882194153203729625e-01 -8.001656064236012389e-01 5.283783858346795093e+00 4.476153291892093211e-02 6.888723895434555045e-02 3.690195827234484582e+00 2.235005867963461845e-02 1.471198288915531727e-01 2.668337846762646598e-02 1.471198288915531727e-01 -5.883010643359625647e+00 -3.757702578190250442e+00 1.775529634471435259e+01 3.784037807125430896e-06
1.186044451573274428e+00 2.671453113991857364e-01 1.599414392712508004e+01 -8.783929311374127913e-02 -7.945489793533769829e-01 5.102275549781841057e+00 2.998232233897564492e-02 7.033423384181704263e-02 1.055573757537683122e+01 1.870090542691097910e-02 1.447562477734000153e-01 2.770189056912221795e-02 1.447562477734000153e-01 -4.065745741797172741e+00 -3.880414315094107724e+00 1.775529634471435259e+01 2.060110689482615254e-05
1.186179690583226476e+00 2.782989873413674875e-01 1.583479264903589723e+01 -2.739774373225825066e-01 -8.242042005755018108e-01 5.488039764315422175e+00 5.078550735785025694e-02 5.470502580930787506e-02 6.791662189907619052e+00 1.824522393786913096e-02 1.432469235926043805e-01 2.570460524170825253e-02 1.432469235926043805e-01 -3.702992290625331862e+00 -3.645508854391678710e+00 1.775529634471435259e+01 3.744988798802547747e-05
1.186105341795638424e+00 2.540930048702257360e-01 1.682095309578153675e+01 1.623368823035437059e-01 -8.147677664218725413e-01 5.456192022662552432e+00 4.722788719050952794e-02 3.715439023399816354e-02 5.184341627310444345e+00 1.875213666465935444e-02 1.391907771997689114e-01 2.673686350201213979e-02 1.391907771997689114e-01 -3.610650511328231005e+00 -3.680725514517884989e+00 1.775529634471435259e+01 3.965150236992970355e-05
1.186156864535138133e+00 2.741005536953353139e-01 1.519817723623829941e+01 -2.552545265529914120e-01 -7.922143552663539756e-01 5.686501172645971991e+00 4.835822292012893070e-02 5.566287731606336248e-02 8.055035866905759789e+00 1.903739964328053993e-02 1.532279654081710740e-01 2.729625781412631583e-02 1.532279654081710740e-01 -7.381718451172162077e+00 -3.534126188120666701e+00 1.775529634471435259e+01 1.057238399217300663e-06
1.186058093456593188e+00 2.326175857223083121e-01 1.674204838411580809e+01 3.927721447908800734e-01 -8.339484659163846070e-01 5.348512224156918293e+00 3.821097425494911215e-02 3.371885112045854005e-02 1.297950863862170046e+01 1.861516242916540220e-02 1.465649585521211495e-01 2.564298443158534099e-02 1.465649585521211495e-01 -3.606558598829280982e+00 -3.756974334824484174e+00 1.775529634471435259e+01 3.689115905550676490e-05
1.186012797336910785e+00 2.707430578326757153e-01 1.609115634951759688e+01 -1.470907090022182673e-01 -7.996014750203892518e-01 5.309569479107699941e+00 3.193664076483206105e-02 6.571805986794140853e-02 2.674512721027671791e+00 1.790842424675066075e-02 1.423855794365102012e-01 2.739024081268246272e-02 1.423855794365102012e-01 -2.796161945703545371e+00 -3.755268808166246419e+00 1.775529634471435259e+01 8.310244386322321298e-05
1.186091803573598114e+00 2.570260288631766588e-01 1.634244822394467178e+01 8.961681869554305457e-02 -8.188606870692430872e-01 5.840124176455271154e+00 3.866918013137903704e-02 5.558332554916347451e-02 4.679750171197381903e+00 1.918895761982583256e-02 1.437108420471721049e-01 2.636874461310791465e-02 1.437108420471721049e-01 -3.243349814648809115e+00 -3.458406931483387403e+00 1.775529634471435259e+01 7.150362286591148658e-05
1.186016675663607245e+00 2.562310862816365997e-01 1.663213522566753966e+01 1.537775550526461199e-01 -8.189186182848074980e-01 5.611525375451493325e+00 6.436278083083364632e-02 1.692171157296834972e-03 9.673010907687048743e+00 2.037343710062824650e-02 1.406056424242201341e-01 2.643733174061373495e-02 1.406056424242201341e-01 -4.133795129687598546e+00 -3.589516778172645584e+00 1.775529634471435259e+01 2.574377772447146700e-05
1.186059467313626881e+00 2.593700522873823022e-01 1.663339501035957468e+01 4.595297904856354698e-02 -8.066980400119030392e-01 5.611798698926332207e+00 2.782492004443580524e-02 7.226652111862302830e-02 1.309377742597249394e+01 1.741355843329886119e-02 1.395927881975534968e-01 2.717630057669183710e-02 1.395927881975534968e-01 -1.199473167383132477e+00 -3.587242973983188143e+00 1.775529634471435259e+01 4.853104176704777124e-04
1.186046570769017316e+00 2.626557935149378409e-01 1.715212096182338897e+01 1.153199431787942375e-01 -8.267731503645698865e-01 6.273917414212387023e+00 4.283922180004119673e-02 4.712971774376063100e-02 9.620010446692310424e+00 2.007536682472066056e-02 1.327440156337023058e-01 2.602866635189015135e-02 1.327440156337023058e-01 -7.068032104688313666e+00 -3.212745201251799632e+00 1.775529634471435259e+01 1.995166604857447595e-06
1.186155446664349578e+00 2.969370549376288415e-01 1.569934826594644406e+01 -6.303552452640506232e-01 -8.020775869970074856e-01 4.602454009829712867e+00 7.406840886086830944e-02 3.344676557893468821e-02 2.689190099527237532e+00 1.660668934321271259e-02 1.388242775689425557e-01 2.671899277149734561e-02 1.388242775689425557e-01 -7.654104441992330976e+00 -4.161250638685050518e+00 1.775529634471435259e+01 4.300515401447279577e-07
1.186060569742537707e+00 2.540898259036231677e-01 1.651120544250852973e+01 1.802909107692800550e-01 -8.104567366947217355e-01 5.646332096567507008e+00 2.760355261552751432e-02 6.659084552544929092e-02 1.014480322980307214e+01 2.093543602461538436e-02 1.426645634857840461e-01 2.694086183519047231e-02 1.426645634857840461e-01 -1.202640678515422223e+00 -3.570873970745565451e+00 1.775529634471435259e+01 4.917597158326669380e-04
1.186054701261089805e+00 2.612683425506036605e-01 1.708824033872781456e+01 1.135068877702924833e-01 -8.274457942878811201e-01 5.903491807974886818e+00 6.881037841093930185e-02 2.507513629148837037e-03 6.759536925196926838e+00 1.944878457096781491e-02 1.339060109458113379e-01 2.598383828915154861e-02 1.339060109458113379e-01 -3.449464217773822838e+00 -3.419798922266043650e+00 1.775529634471435259e+01 6.047570559411391148e-05
1.186166821283694439e+00 2.925639757094568583e-01 1.530946193261421229e+01 -5.467843300457446709e-01 -8.013950581661836159e-01 5.387552788530260095e+00 4.866960952013155151e-02 7.089056942367288894e-02 1.047915924753205985e+01 1.846623857193705268e-02 1.458507328454627938e-01 2.651435982441543299e-02 1.458507328454627938e-01 -3.297301615234744077e+00 -3.693412739919826659e+00 1.775529634471435259e+01 5.355935664244384196e-05
1.186134982796223758e+00 2.852641969289787527e-01 1.545038122412669956e+01 -4.148504335739465199e-01 -8.073237279246392450e-01 5.497367095517889268e+00 5.610027432776502204e-02 5.710065756965036765e-02 2.593304305789066788e+00 1.840577478501410555e-02 1.461997997965706064e-01 2.639757562125379792e-02 1.461997997965706064e-01 -3.201127436132935600e+00 -3.635017225173957645e+00 1.775529634471435259e+01 6.251210404394704238e-05
1.186177659822469366e+00 2.927304851894141913e-01 1.577756274878402820e+01 -4.896187238911400286e-01 -8.016290379690043100e-01 5.604677725636737051e+00 6.161974351362613928e-02 6.011362821193516615e-02 4.716514843938346968e-01 1.910076105487449466e-02 1.391929950866508392e-01 2.686356333081549655e-02 1.391929950866508392e-01 -1.248819031445520977e+00 -3.567309497650783090e+00 1.775529634471435259e+01 4.712441547187771812e-04
1.186155051114570202e+00 2.874983096539120986e-01 1.580883532526231683e+01 -3.925189130616162925e-01 -8.000294025997922720e-01 5.414831964976105638e+00 6.995737883878080932e-02 2.563051896686803499e-02 7.236300942846346729e+00 1.942931142380672355e-02 1.405410354643333859e-01 2.705371907740183879e-02 1.405410354643333859e-01 -1.694031067383093614e+00 -3.681342886067834552e+00 1.775529634471435259e+01 2.693821249802439040e-04
1.186164382858627242e+00 2.950295084345327390e-01 1.525203541978278743e+01 -5.974400356512838961e-01 -8.155543066659072249e-01 5.070994706782305350e+00 6.160742311099869084e-02 6.350251079955286648e-02 4.045794276406403434e+00 1.833878082078534144e-02 1.458851640556820817e-01 2.556153298253639392e-02 1.458851640556820817e-01 -6.827633492383142766e+00 -3.878543790108444078e+00 1.775529634471435259e+01 1.303858025608884776e-06
