# mc delta_mc R14 log_alpha_dyn log_f_disk theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185965114019992050e+00 2.168835434708168419e-01 1.767199830492406676e+01 4.285773126206756656e-01 -1.363940201761504767e+00 5.585846717691954844e+00 3.828897772361380958e-02 1.307014793447397981e-02 9.461700626610003440e-01 2.000215679459768289e-02 1.418212923486166233e-01 2.725106628402874584e-02 1.418212923486166233e-01 -2.369082049609403384e+00 -2.293847882645919434e+00 2.128972044601108848e+01 1.340413481135889527e-04
1.185945422126010618e+00 1.978641624180877967e-01 1.809818320184675855e+01 1.517813267381336484e+00 -1.377440257704591664e+00 5.283383296034608989e+00 2.288053560312525853e-02 2.590031421393503355e-02 1.045225060717471699e+01 2.061131340944048762e-02 1.432385456828374481e-01 2.716005426137979573e-02 1.432385456828374481e-01 -4.614901260741930855e+00 -2.479976581352035137e+00 2.128972044601108848e+01 1.177761163868314116e-05
1.185933822525544468e+00 1.788565081239904264e-01 1.716343168203663438e+01 8.684913164356955484e-01 -1.326629276956573955e+00 5.556897565988562882e+00 1.770768273458967618e-02 1.656503956069821024e-02 5.151572719707076864e+00 1.922333419533577697e-02 1.561502749624948949e-01 2.704469162288137413e-02 1.561502749624948949e-01 -5.508640647655852263e+00 -2.329384023028087558e+00 2.128972044601108848e+01 5.601607342125961876e-06
1.185981150126374617e+00 2.134806000481238031e-01 1.794078845149466162e+01 6.063644523130614639e-01 -1.379581726419811138e+00 5.843770210817032407e+00 3.097048186599572067e-02 2.188610831099114390e-02 4.211724900700889451e-01 2.036865959269020671e-02 1.403432995472377876e-01 2.693796049880796753e-02 1.403432995472377876e-01 -1.013138365234510729e+00 -2.148297637429833706e+00 2.128972044601108848e+01 6.016297662925652184e-04
1.185941379216056468e+00 1.975624766592286030e-01 1.792302332885800098e+01 1.074847791208131120e+00 -1.380311940934050075e+00 5.445649023079158546e+00 2.664561166371863174e-02 1.761561953015721924e-02 8.199498748044812046e+00 1.983083034980545958e-02 1.448275978372965955e-01 2.649994214519728331e-02 1.448275978372965955e-01 -1.822122503538878391e+00 -2.385135470440015393e+00 2.128972044601108848e+01 2.114144190722164825e-04
1.185972077997274443e+00 2.106441413958835829e-01 1.732503880211330483e+01 3.605183773934561020e-01 -1.356069430873753756e+00 5.180042451610336052e+00 1.792922197161924552e-02 3.835109435415776091e-02 7.524988027820294967e+00 1.851797689820767340e-02 1.468112112736580377e-01 2.659163487684580718e-02 1.468112112736580377e-01 -3.770013962108919259e+00 -2.534462879861475226e+00 2.128972044601108848e+01 2.596115573414994884e-05
1.185954013183374123e+00 2.056026685256654996e-01 1.754231890888187806e+01 5.551642527080434819e-01 -1.356007442509817640e+00 5.075657716402970365e+00 2.807785088564648118e-02 2.395431902589706397e-02 2.274291103247536139e+00 2.046842295914864593e-02 1.461216394883426695e-01 2.711152975437283730e-02 1.461216394883426695e-01 -3.139627318749830920e+00 -2.599207359396296102e+00 2.128972044601108848e+01 4.570663962173323583e-05
1.185953668603802580e+00 2.115240599405078248e-01 1.676093830924263628e+01 2.459141964190683649e-01 -1.337706084533723194e+00 5.192291328094694514e+00 2.196354557197844476e-02 3.423661598040745463e-02 7.230673381425646085e+00 2.002996817925949483e-02 1.521398182922717446e-01 2.599387500788678806e-02 1.521398182922717446e-01 -5.751351801561838784e+00 -2.526753733542426161e+00 2.128972044601108848e+01 3.607347427082603026e-06
1.185980209084653625e+00 2.084524559771584185e-01 1.738664645770451500e+01 4.953106618650496840e-01 -1.374549142441057858e+00 5.648615111970936020e+00 3.086067983095821393e-02 2.456211360432973209e-02 4.672715481621956712e+00 2.263855001121999402e-02 1.468163990629643978e-01 2.560624476040737271e-02 1.468163990629643978e-01 -2.830650665234031749e+00 -2.262231010685154420e+00 2.128972044601108848e+01 8.719932383521775924e-05
1.185973222357225243e+00 2.004700045625614213e-01 1.758336250445708160e+01 6.678441107735977322e-01 -1.386870671730246585e+00 5.855587536023355355e+00 2.767143380052425328e-02 2.203226918822627847e-02 1.149803546888197125e+01 2.030559332310057780e-02 1.470972887749755209e-01 2.524671319160914570e-02 1.470972887749755209e-01 -3.945018941015348446e+00 -2.148368026843022527e+00 2.128972044601108848e+01 3.206263343899741416e-05
1.185976706191418151e+00 2.048603782983228205e-01 1.750069709238212923e+01 5.136706966629441817e-01 -1.351812929495808335e+00 5.956967231265632101e+00 2.882500570361434117e-02 2.598296438249588641e-02 3.512667725609762481e+00 1.889186814548603904e-02 1.467058359285435820e-01 2.723259485483251613e-02 1.467058359285435820e-01 -4.980722479296787242e+00 -2.088985456029762933e+00 2.128972044601108848e+01 1.207781522502547734e-05
1.185953920176492149e+00 2.053285260553725233e-01 1.781213650815517013e+01 6.664364482256370792e-01 -1.370652994455198170e+00 5.526072313804927028e+00 2.195128816844914635e-02 3.352006404745249551e-02 9.191598081497865280e+00 1.861339366782963425e-02 1.437466315456233934e-01 2.696342455758278869e-02 1.437466315456233934e-01 -1.662358415624737518e+00 -2.334520382105122582e+00 2.128972044601108848e+01 2.609162448567333933e-04
1.185953529564088393e+00 2.072940035476173171e-01 1.712768183088741125e+01 3.878371836714494814e-01 -1.359214501202905323e+00 5.857566807811577014e+00 2.892421119519063624e-02 2.636089775668263788e-02 9.123777387684810947e+00 2.065969311912587564e-02 1.495954204481459993e-01 2.573301327757529164e-02 1.495954204481459993e-01 -5.613199044530745141e+00 -2.143780923454525755e+00 2.128972044601108848e+01 6.074491515890548269e-06
1.185978932001723329e+00 2.045236013798968355e-01 1.815335916456418985e+01 1.087791945970796759e+00 -1.392853422011376185e+00 5.414048327705774710e+00 3.424050296287335649e-02 1.532870300756152340e-02 1.316963360106223924e+01 2.084755180302147459e-02 1.409795856469370223e-01 2.649444607214048245e-02 1.409795856469370223e-01 -1.129849892187337446e+00 -2.400020596511258208e+00 2.128972044601108848e+01 4.162174183189286262e-04
1.185953269084650596e+00 2.073929394101464707e-01 1.759582409391774505e+01 5.200596251589935104e-01 -1.372962515375469650e+00 5.777898002221958151e+00 2.605312243753776791e-02 2.639452362624412560e-02 3.389043831218519376e+00 1.911480063810568758e-02 1.451498045163663875e-01 2.626529886923243892e-02 1.451498045163663875e-01 -1.889731035350962429e+00 -2.188925071323505556e+00 2.128972044601108848e+01 2.404283552378970641e-04
1.185978424452541979e+00 2.092951216486556854e-01 1.822958348445790833e+01 9.724229822955237079e-01 -1.399416990126407523e+00 5.170593909717061898e+00 2.559710488087762678e-02 3.274773920318510556e-02 8.465012649630908825e+00 2.134276033576595552e-02 1.389971026771333884e-01 2.638489509725612525e-02 1.389971026771333884e-01 -3.057315947460779171e+00 -2.540771554804543975e+00 2.128972044601108848e+01 5.261444755395957207e-05
1.185981919940408913e+00 2.026363663315269847e-01 1.787328794314599278e+01 7.811994228812226826e-01 -1.364148002855449349e+00 5.295853252239027142e+00 2.015824991229747329e-02 3.522257117917158148e-02 1.020698885167430525e+01 1.846582661763477434e-02 1.439301741866410023e-01 2.748058940837446937e-02 1.439301741866410023e-01 -1.641904649609330136e+00 -2.470218941892540432e+00 2.128972044601108848e+01 2.325149818739538502e-04
1.185967457020957960e+00 2.062857551866157657e-01 1.785723265232439161e+01 6.660176347090995819e-01 -1.374158194090164153e+00 5.439219847355838411e+00 3.568842112191505239e-02 1.206748231508228061e-02 1.291810166902299439e+00 1.828476202981060839e-02 1.430867298397849874e-01 2.689196080799723804e-02 1.430867298397849874e-01 -1.512038572851054141e+00 -2.384449964051334359e+00 2.128972044601108848e+01 2.884696022902468295e-04
1.185979891910354578e+00 2.023948605214984653e-01 1.810695801565470475e+01 1.088050655498287611e+00 -1.393393481920685906e+00 5.470894733649430464e+00 2.343479634277310236e-02 2.935040194732970592e-02 8.850495645523649202e+00 1.882226704800779929e-02 1.419581194505958877e-01 2.629750430111146495e-02 1.419581194505958877e-01 -1.316902769726198130e+00 -2.368002417964112372e+00 2.128972044601108848e+01 3.564425457698490733e-04
1.185950217382406580e+00 2.092572186435186221e-01 1.697770237626903622e+01 3.793704669861849288e-01 -1.332120052193227266e+00 5.576331327089191880e+00 2.322746796243624345e-02 3.290685523418027114e-02 9.554866152043468119e+00 2.326607748992950628e-02 1.505516451738685424e-01 2.696514351013866440e-02 1.505516451738685424e-01 -5.997609640233974915e+00 -2.303433908016645937e+00 2.128972044601108848e+01 3.525543837020647750e-06
1.185976339935512325e+00 1.966346114599978878e-01 1.799739646726994025e+01 1.309272832415048660e+00 -1.382673285833427412e+00 5.484144002987735078e+00 2.107411914945146042e-02 2.817219384229896831e-02 3.348011598029706271e+00 2.062155440262929476e-02 1.444296377246311325e-01 2.653628064196935851e-02 1.444296377246311325e-01 -2.538145385156212797e+00 -2.363181505152879058e+00 2.128972044601108848e+01 1.056098203103667508e-04
1.186003884169358535e+00 1.997547653735788353e-01 1.731490755122401382e+01 5.476291245682299857e-01 -1.356165956991952415e+00 5.516696857599797887e+00 3.129917517569329177e-02 1.677503249880537770e-02 4.353138171311220717e+00 2.046419468520330187e-02 1.497620063054365680e-01 2.628185565457057810e-02 1.497620063054365680e-01 -2.149191621093734739e+00 -2.342733330096100186e+00 2.128972044601108848e+01 1.590396117079200824e-04
