# mc delta_mc R14 log_alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186045719266319187e+00 3.222777109704584309e-01 1.526560813831799024e+01 -2.840509200666960332e+00 -1.037544126597716332e+00 5.577717728840935862e+00 2.013154856737997891e-02 5.363022054269762137e-04 2.962944413320600656e+00 1.808728773803747192e-02 1.362858656953508385e-01 2.670323944613274200e-02 1.362858656953508385e-01 -3.268890380859375000e-01 -3.035620982400233370e+00 1.415409528837334996e+01 1.610568669473155020e-04
1.187181566218598050e+00 4.637430694391868613e-01 1.286494603852333718e+01 2.951179199616928983e-01 -1.088973810146269150e+00 5.156640413457886929e+00 9.946037184474985221e-03 2.912236241340302248e-02 9.621626542397283544e+00 1.839332283589124178e-02 1.433380544668932943e-01 2.816128753674302168e-02 1.433380544668932943e-01 -3.307891845703125000e+00 -3.122146010956373896e+00 1.415409528837334996e+01 7.494951625516347461e-06
1.186608343575073832e+00 5.644394382551352063e-01 1.253907428362796139e+01 1.407275925018742324e+00 -1.124024257839329799e+00 5.893405058975657695e+00 4.065266973870904077e-02 2.755552563279110509e-02 1.452837741392211557e+00 1.810730182182580458e-02 1.382968910375821370e-01 2.655386796863346346e-02 1.382968910375821370e-01 -1.534881591796875000e+00 -2.526304263769716396e+00 1.415409528837334996e+01 8.008444803785540655e-05
1.185621484458596830e+00 3.746195846810442265e-01 1.402038324957609916e+01 -1.149515009380930319e+00 -1.078834772008765652e+00 5.930900563743996656e+00 2.385021804188998742e-02 1.545297020516001735e-02 3.101677864243186811e+00 1.744870520110226170e-02 1.403764738806556611e-01 2.671527632043278408e-02 1.403764738806556611e-01 -2.468627929687500000e+00 -2.784857916236271880e+00 1.415409528837334996e+01 2.430742083871550226e-05
1.186749257987789186e+00 4.250811422609248602e-01 1.301620645422570099e+01 1.201079766030325180e-01 -1.117628858313274742e+00 4.642137141520321642e+00 4.116450605370749333e-02 3.258679120345863572e-02 1.235277618112050924e+01 2.032758321613568550e-02 1.494672521226239059e-01 2.574615228741362200e-02 1.494672521226239059e-01 -6.994552612304687500e+00 -3.484699626246386739e+00 1.415409528837334996e+01 1.306824813306328288e-07
1.186739632524314914e+00 3.587209661114276749e-01 1.413643599107913573e+01 -1.155711541214185401e+00 -1.056654064265597492e+00 4.910364203347254097e+00 1.697683497337281605e-02 4.316038102757209505e-02 5.182368629326065346e+00 1.941715315617987062e-02 1.437432224984172002e-01 2.744831980933344281e-02 1.437432224984172002e-01 -3.489761352539062500e+00 -3.395231829834771897e+00 1.415409528837334996e+01 4.755369266658890342e-06
1.186470526284826743e+00 3.186243653462825787e-01 1.460096705569491071e+01 -1.477531882738731817e+00 -1.028398456841341346e+00 5.431437498788808327e+00 2.365125549364349364e-02 1.629113685386889693e-02 7.788998251756008351e+00 1.989659518602279048e-02 1.485298063236357713e-01 2.702762743799981202e-02 1.485298063236357713e-01 -1.169845581054687500e+00 -3.123209908749867925e+00 1.415409528837334996e+01 6.351093172011607849e-05
1.186199987716032522e+00 2.873397834218771596e-01 1.558882847688440343e+01 -2.952885503261480249e+00 -9.984870453514486099e-01 5.581073578182863315e+00 1.325597994525878377e-02 2.086578440590492953e-02 1.555203668171048159e+00 1.821414176928674855e-02 1.436062341083241822e-01 2.643869891079995982e-02 1.436062341083241822e-01 -6.520996093750000000e-01 -3.061742309045278887e+00 1.415409528837334996e+01 1.133437929636144510e-04
1.186120364988897169e+00 3.078412405122857853e-01 1.482100045296876090e+01 -1.701237186066948182e+00 -1.036039308930081004e+00 5.282115832547492396e+00 1.573360056918024844e-02 3.010359466365418110e-02 6.177967835852766321e+00 2.031241952818046634e-02 1.483329632757978134e-01 2.582417036323764181e-02 1.483329632757978134e-01 -2.181671142578125000e+00 -3.219955614620030104e+00 1.415409528837334996e+01 2.096052227328789984e-05
1.186513693614304366e+00 3.107520393380416301e-01 1.510727906586488345e+01 -2.307768581327157342e+00 -1.028585703600225720e+00 5.714339317632780357e+00 2.541808516784883551e-02 3.882915108581320995e-02 7.425314454539202913e+00 1.853724942814997945e-02 1.429015948371459288e-01 2.647540520415368748e-02 1.429015948371459288e-01 -6.092987060546875000e-01 -2.966514498329235305e+00 1.415409528837334996e+01 1.301196393039804060e-04
1.186747634062766732e+00 3.871888251187866059e-01 1.373096399699574732e+01 -7.631602551473646301e-01 -1.097361043609329956e+00 5.770337666695157353e+00 2.607265137531322718e-02 2.393512015038505580e-02 6.524743228009473484e+00 1.881234945430127967e-02 1.428447292535616198e-01 2.600303864042110766e-02 1.428447292535616198e-01 -1.026779174804687500e+00 -2.861341914347851567e+00 1.415409528837334996e+01 9.521585240619473076e-05
1.187497051729950570e+00 4.345290810003549775e-01 1.317541139204084644e+01 -8.125327851707697668e-02 -1.102343595831694056e+00 5.398452817045734875e+00 2.940801482234271336e-04 9.029891431302479801e-03 6.366266275234949923e+00 2.130248546932844711e-02 1.421362550948219727e-01 2.684733832172638696e-02 1.421362550948219727e-01 -1.333236694335937500e+00 -3.018939672219208781e+00 1.415409528837334996e+01 5.986494853020854175e-05
1.186791874276137415e+00 4.835467963144843839e-01 1.292651809806435281e+01 2.247692129325979948e-01 -1.115306567511163971e+00 5.594491551708844490e+00 4.043915298073933601e-02 1.114837259326975725e-03 7.842639352241953965e+00 1.787133738749521750e-02 1.355921295545070571e-01 2.672517047511678914e-02 1.355921295545070571e-01 -6.301422119140625000e-01 -2.837313420585840351e+00 1.415409528837334996e+01 1.450113335035249922e-04
1.187122249771175531e+00 4.092239390274915456e-01 1.354037722234155794e+01 -5.587744643213783391e-01 -1.114417700676509471e+00 5.686504656511549349e+00 4.327037951588513093e-02 4.073339096820144389e-03 8.622681040553421994e+00 2.031623291083373486e-02 1.401658609894411711e-01 2.558670882713487763e-02 1.401658609894411711e-01 -1.141159057617187500e+00 -2.883851546668252386e+00 1.415409528837334996e+01 8.303456190974961072e-05
1.186458828999699344e+00 4.187135111209502880e-01 1.319305245975630037e+01 -8.114795289569032288e-02 -1.096752077927655611e+00 6.200444364972834244e+00 1.125753482716331313e-02 3.671980032983194336e-02 5.526710960253861771e+00 2.126346131819086341e-02 1.462295962351966017e-01 2.687853946476322087e-02 1.462295962351966017e-01 -5.133712768554687500e+00 -2.584063921355577609e+00 1.415409528837334996e+01 2.067811587732506177e-06
1.185957469363717820e+00 4.955471191821184118e-01 1.287415998359065306e+01 3.365124943441550887e-01 -1.102025269623511328e+00 5.240369492860736500e+00 2.705757138598162762e-02 1.884755715485522329e-02 9.111845712983384971e+00 1.779381339206860188e-02 1.340563748363909902e-01 2.766849275248968454e-02 1.340563748363909902e-01 -3.669448852539062500e+00 -3.026032513411986535e+00 1.415409528837334996e+01 5.747621792844333554e-06
1.186093196881425449e+00 4.869413966138995131e-01 1.290414465317242154e+01 2.337419713284888678e-01 -1.121887652750123587e+00 5.698013124147930597e+00 1.309216816732317393e-02 1.579029025607842085e-02 1.061012507034065599e+01 1.653246294439437297e-02 1.352236790435210612e-01 2.635951603217016534e-02 1.352236790435210612e-01 -2.334671020507812500e+00 -2.773294537761481049e+00 1.415409528837334996e+01 2.811496440490864635e-05
1.186490683470844631e+00 4.091121656527286210e-01 1.303054267709099889e+01 1.518127355190885819e-01 -1.100668898757638514e+00 5.768991928313673689e+00 3.317117968795038618e-02 2.719099697755123207e-03 1.120899003664826310e+00 2.211461263913231529e-02 1.536911889314103163e-01 2.641229550606610452e-02 1.536911889314103163e-01 -2.804443359375000000e+00 -2.837424371677763180e+00 1.415409528837334996e+01 1.648415807292080107e-05
1.186259059092606538e+00 3.889941364269909330e-01 1.386167488833219075e+01 -9.650822692456354490e-01 -1.091924848036212037e+00 5.360356876267819537e+00 2.853809484309798722e-02 1.663729626905048609e-02 7.408447884336822886e-01 1.906962615492416649e-02 1.390468548492054257e-01 2.639086842120240417e-02 1.390468548492054257e-01 -5.488433837890625000e-01 -3.096491232277256422e+00 1.415409528837334996e+01 1.213808250815612397e-04
1.186179066521779513e+00 3.354278765139168672e-01 1.413276175045155547e+01 -9.534617282244058911e-01 -1.041183320036728199e+00 5.932633536365471194e+00 3.779410385720145815e-02 1.714311600221239337e-02 1.081413711423276602e+01 1.964120702859426318e-02 1.514391870074068835e-01 2.726123774695988697e-02 1.514391870074068835e-01 -4.109329223632812500e+00 -2.821642147051063976e+00 1.415409528837334996e+01 4.541676255925370805e-06
1.186812633014227014e+00 4.569219547092961409e-01 1.280071651575035929e+01 4.497962866828604245e-01 -1.140722779005978627e+00 6.023437699271960710e+00 6.195316161844549585e-02 2.686157734893032667e-02 2.309234939297279965e+00 2.199668455803270237e-02 1.472498082721971358e-01 2.491606588272070669e-02 1.472498082721971358e-01 -4.640228271484375000e+00 -2.632398666659419906e+00 1.415409528837334996e+01 3.227282964625555890e-06
