# mc delta_mc R14 log_alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185648234917417554e+00 2.578898587814562049e-01 1.635323601895980516e+01 -9.002200405040983178e-02 -1.306720618941787038e+00 5.446708293795006206e+00 5.760094730726880025e-02 1.827268118550279957e-02 9.832007383865663641e+00 2.015924091924050504e-02 1.432419623345316806e-01 2.786163339962174912e-02 1.432419623345316806e-01 -2.206222534179687500e+00 -3.160885504093900344e+00 1.420943642874459911e+01 1.344345292788814892e-05
1.185773426477131354e+00 3.991929037024050664e-01 1.364182949108457343e+01 -5.972601861517510269e-01 -1.238521292557306142e+00 5.439575176712058813e+00 2.906769259304650254e-04 2.362342517880016216e-02 8.212888913440922201e-01 2.083177679134905549e-02 1.406253825998080575e-01 2.628035125153051210e-02 1.406253825998080575e-01 -7.268066406250000000e-01 -3.039216806592866416e+00 1.420943642874459911e+01 6.665811585184486590e-05
1.186730305042527744e+00 2.624469528203375868e-01 1.650421809305357712e+01 -1.039808987155739217e-01 -1.340751530417410242e+00 5.393791928672202474e+00 3.655363218134964620e-02 7.488744876026509449e-03 1.031208782900404053e+01 2.005766068015080519e-02 1.401981032724475273e-01 2.631636037362048222e-02 1.401981032724475273e-01 -4.713439941406250000e-01 -3.187781501493087255e+00 1.420943642874459911e+01 7.417853028280790601e-05
1.186433177588214427e+00 3.108639079957080109e-01 1.541779614386890174e+01 -4.040236620709514170e-01 -1.305511644026992046e+00 5.722610057165725905e+00 3.969016557459518341e-02 3.936098374610082218e-02 4.865641358350553780e+00 1.767806910723524610e-02 1.380930746252830854e-01 2.620813471799417899e-02 1.380930746252830854e-01 -1.037780761718750000e+00 -2.961765238591774541e+00 1.420943642874459911e+01 5.277587927071412184e-05
1.186886923472733057e+00 2.305875859904745750e-01 1.658205048417807959e+01 7.656736450222290102e-02 -1.342179481313828582e+00 5.067701289375118989e+00 6.307558443346789404e-03 7.519494835238053898e-03 1.146471668629518348e+01 1.997934117962660641e-02 1.489860062797228046e-01 2.565664188046814023e-02 1.489860062797228046e-01 -3.730758666992187500e+00 -3.400368964221062829e+00 1.420943642874459911e+01 2.303598863831432783e-06
1.185605084151329258e+00 3.260691230263019769e-01 1.523248256158160885e+01 -4.859360105826283638e-01 -1.297965877056652895e+00 5.775571134509538851e+00 4.050259592795598523e-02 4.713224874852443846e-02 7.496615466458699473e+00 1.655483913586949102e-02 1.353478594583024108e-01 2.646168307809876330e-02 1.353478594583024108e-01 -2.523605346679687500e+00 -2.919339395897416090e+00 1.420943642874459911e+01 1.246164481251506016e-05
1.185599019326858850e+00 3.876948668879025561e-01 1.402501562232551358e+01 -6.102665219529741503e-01 -1.252448500743885917e+00 5.475751214654174248e+00 2.668824412989544495e-02 1.431408330495011249e-03 8.050477686074680506e+00 1.899683216532298616e-02 1.356095458204286119e-01 2.659963303159362108e-02 1.356095458204286119e-01 -6.113891601562500000e-01 -3.031166845326225268e+00 1.420943642874459911e+01 7.541786996839604164e-05
1.186221992773911715e+00 2.893445996626956007e-01 1.619413344523584186e+01 -3.237756739366051129e-01 -1.326527183825305878e+00 5.561203690407040767e+00 2.610526749823207163e-02 3.664148027180093997e-02 7.511538644769407469e+00 1.657217938635728235e-02 1.348409042808113023e-01 2.689657395909036616e-02 1.348409042808113023e-01 -2.235229492187500000e+00 -3.071678567346542543e+00 1.420943642874459911e+01 1.427760456248565876e-05
1.185788104780709729e+00 2.627794738348029902e-01 1.610300511757319697e+01 -9.915532837843654690e-02 -1.317249654679758297e+00 5.627611973743723794e+00 5.408788377150498122e-02 2.866959476334307935e-02 7.478755782238879490e+00 2.170413889357558287e-02 1.447366695759849664e-01 2.650056564416904126e-02 1.447366695759849664e-01 -1.201660156250000000e+00 -3.052835127349095234e+00 1.420943642874459911e+01 4.089897375012904626e-05
1.186299693091951379e+00 3.412657829054873138e-01 1.400524628016545137e+01 -4.526098016739371621e-01 -1.229625341095559543e+00 5.673318847660342001e+00 1.808896705579314534e-02 2.673793791187845104e-02 5.989433523803028514e+00 2.049121411425948794e-02 1.520597980440088204e-01 2.636792039064822513e-02 1.520597980440088204e-01 -1.709152221679687500e+00 -2.963446849694873375e+00 1.420943642874459911e+01 2.692354501856444862e-05
1.186762303204094149e+00 4.367711306943340421e-01 1.312380943589355731e+01 -7.007746432621416721e-01 -1.219718369083762521e+00 5.719733444696593949e+00 4.724762804060627513e-03 4.106326917025511503e-02 2.618076493337762933e+00 1.997706170642353160e-02 1.427403695384168447e-01 2.646494267451491439e-02 1.427403695384168447e-01 -4.361267089843750000e-01 -2.831081924886045709e+00 1.420943642874459911e+01 1.097704778385785479e-04
