# mc delta_mc R14 log_alpha_dyn log_f_disk beta_phi theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185701057481666654e+00 3.657340192455010297e-01 1.716704893267133514e+01 -5.013870088087934995e-01 -1.384961063592379693e+00 -8.020236953884800624e-01 6.017024696340700807e+00 7.584253050067799734e-03 9.255745316410161211e-03 6.224610099962611720e+00 1.921330573870869141e-02 1.327732706656022110e-01 2.724761459910257644e-02 1.327732706656022110e-01 -5.379165649414062500e+00 -3.320983654711017863e+00 1.477175290103884997e+01 2.049684742814906222e-06
1.186211864639597602e+00 2.823077064128108327e-01 1.608191583618477338e+01 -2.190172983416053265e-01 -1.315899309721525690e+00 -1.032518131882293466e-01 5.458794671249956210e+00 2.397770245253453766e-02 1.278077299322589793e-03 7.971119721275290892e+00 2.002358686777097260e-02 1.459067115008400861e-01 2.702330639992287648e-02 1.459067115008400861e-01 -8.139495849609375000e-01 -3.711664237365834840e+00 1.477175290103884997e+01 1.332492559452666330e-04
1.185967953046569212e+00 6.054761539553773497e-01 1.200998123023496156e+01 -1.060733099090117149e+00 -1.228828402423791655e+00 4.451749739442225628e-01 5.462607455189798067e+00 9.429189620250615555e-04 8.419803377865969427e-03 1.049387044076404862e+01 1.977246110456161443e-02 1.419785057049283705e-01 2.629853309691144309e-02 1.419785057049283705e-01 -2.432250976562500000e-01 -3.261329711847400059e+00 1.477175290103884997e+01 3.699176790955704562e-04
1.186139554034055577e+00 5.044325645149714266e-01 1.274364486837249544e+01 -8.511255936387183141e-01 -1.229030920733965360e+00 -7.284152327232651380e-02 5.368833024669516618e+00 7.190039649609110926e-03 8.697936999727449991e-03 7.646577258960221890e+00 1.991611970778421614e-02 1.421674334883504809e-01 2.642789182923683741e-02 1.421674334883504809e-01 -4.772186279296875000e-01 -3.511513451684547427e+00 1.477175290103884997e+01 2.279447378767048850e-04
1.185769290838089240e+00 3.936665823917543938e-01 1.348084732567295063e+01 -6.178446790806830791e-01 -1.216567182557451332e+00 8.506765720650022455e-02 5.616592975165679569e+00 4.407058846905178087e-03 1.349723806291320063e-02 8.938780954358714226e+00 1.917138608824164175e-02 1.404701258132870501e-01 2.675991067334373280e-02 1.404701258132870501e-01 -8.248901367187500000e-02 -3.518351348072636053e+00 1.477175290103884997e+01 3.359609522647701322e-04
1.186189668157617616e+00 5.236538649318085437e-01 1.069846818858692394e+01 -8.966566202400018115e-01 -1.076465380097134661e+00 1.147783565979227927e+00 5.732671833276687501e+00 1.291715685548590039e-03 1.921406634991022766e-02 5.422889102206761791e+00 1.645838137686731276e-02 1.381917945285771054e-01 2.613001713589177197e-02 1.381917945285771054e-01 -2.636932373046875000e+00 -3.268947529103743310e+00 1.477175290103884997e+01 3.351373649143131358e-05
1.185813696577615817e+00 2.310981812938152635e-01 1.697476944789273645e+01 1.106871404691687211e-01 -1.336591323547504651e+00 9.771221896119897110e-04 5.119298799387660637e+00 3.071926925678366855e-03 4.848699747745693206e-03 8.499466944005439117e+00 1.905320298712211841e-02 1.444595357716151884e-01 2.725575858564264695e-02 1.444595357716151884e-01 -1.878356933593750000e+00 -3.945573419478348942e+00 1.477175290103884997e+01 3.637584474253937683e-05
1.185587252593421903e+00 4.522345850650454357e-01 1.430858817930697136e+01 -7.591586950637346787e-01 -1.284051787162461267e+00 -5.425524286007405994e-01 5.698209019724906454e+00 5.494511779526960443e-04 1.421684122920767977e-02 3.216353992136833817e+00 1.963763332712602228e-02 1.347051788138343975e-01 2.729869470892281810e-02 1.347051788138343975e-01 -2.338302612304687500e+00 -3.399180372914461845e+00 1.477175290103884997e+01 3.966036460184226459e-05
1.186128286557762701e+00 3.935919657362975110e-01 1.591871087853146882e+01 -5.942438668540089841e-01 -1.354042502566075834e+00 -6.379446115635102332e-01 5.899220484787319307e+00 1.334222232546086739e-02 1.512665923057199963e-02 2.860901705769660630e+00 2.004201377935774589e-02 1.307111087726561538e-01 2.651795829387053327e-02 1.307111087726561538e-01 -5.746154785156250000e+00 -3.357123762271349676e+00 1.477175290103884997e+01 1.369652083623795427e-06
1.186020679258888100e+00 6.802786403224502232e-01 1.236372970721904174e+01 -1.291125136289318576e+00 -1.270872863055850344e+00 8.497939019176996567e-01 5.503104606768649099e+00 3.217860193301412541e-02 1.099287033618400779e-02 3.002500265565981596e+00 1.786325702821683209e-02 1.326711940483890351e-01 2.615381535195855298e-02 1.326711940483890351e-01 -2.388717651367187500e+00 -3.040140578509585634e+00 1.477175290103884997e+01 5.399962335215845410e-05
