# mc delta_mc R14 log_alpha_dyn log_f_disk beta_phi theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186347752083830365e+00 1.273726864761978439e-01 1.508196005891108449e+01 9.317847506770220445e-01 -8.070877133522931235e-01 6.463410094343876588e-01 5.604079554575926103e+00 2.115128084951254511e-02 1.550606054493743058e-02 3.299080297191893330e+00 1.813833983997456545e-02 1.360013103741435359e-01 2.718028937874878218e-02 1.360013103741435359e-01 -8.297882080078125000e-01 -3.419820473463032418e+00 1.353159261583332729e+01 7.071110722397994694e-05
1.186203862260051922e+00 1.396371921699806895e-01 1.979255837034351728e+01 1.419718399856440216e+00 -8.341776365750454003e-01 -3.345283031818835351e-02 5.665286638323564716e+00 5.575705276575922999e-03 2.850806617352954000e-02 3.386269534092423594e+00 2.201592214029571629e-02 1.464660616337352395e-01 2.588390010433418154e-02 1.464660616337352395e-01 -1.502624511718750000e+00 -3.380770240590396547e+00 1.353159261583332729e+01 3.751784150568989845e-05
1.186501959191523792e+00 3.850485707368631050e-02 2.078835565547971598e+01 1.742161016733362100e+00 -8.383785694431202806e-01 1.490376758061521811e-01 5.897175122331434594e+00 1.645697769579819100e-02 3.113148916079723147e-02 1.410023150219020138e+01 1.986425062021187141e-02 1.403613091227886855e-01 2.565556430317283282e-02 1.403613091227886855e-01 -1.928527832031250000e+00 -3.270481127044153169e+00 1.353159261583332729e+01 2.736329143623798839e-05
1.185615237745324624e+00 5.850021678073109854e-02 2.020346512399013150e+01 1.644712711686365125e+00 -8.324897059709777114e-01 2.353344587559544343e-01 5.088058909327632051e+00 1.305021003019080778e-02 1.274224861760517129e-02 9.348631465348735681e-01 1.921393268105666893e-02 1.361937051516065034e-01 2.600117054684291176e-02 1.361937051516065034e-01 -2.713562011718750000e+00 -3.738421793916219205e+00 1.353159261583332729e+01 7.816426962621661625e-06
1.187492640425279911e+00 3.360052426384105978e-02 2.978134467350901815e+01 2.632401696317953288e+00 -8.390094907231414600e-01 -3.192947376690162820e-01 5.663420784270010166e+00 9.473558099482628494e-04 9.285787103771488138e-03 1.473205664688342864e+01 2.057366011821773477e-02 1.368866738128272920e-01 2.563526468759199858e-02 1.368866738128272920e-01 -1.740768432617187500e+00 -3.403028106776077255e+00 1.353159261583332729e+01 2.891657054997013568e-05
1.186331121440371561e+00 9.621091287527133717e-02 2.088456973844409958e+01 1.592455191034972906e+00 -8.191741051535528229e-01 -6.879453262931628510e-03 5.243268160694042557e+00 2.035527499618891480e-03 8.363205140936977658e-03 6.813603166496063679e+00 1.780168519324426546e-02 1.453053535757360404e-01 2.681214222838032915e-02 1.453053535757360404e-01 -1.973159790039062500e+00 -3.638675314467464617e+00 1.353159261583332729e+01 1.810840583282292396e-05
1.185841191128545580e+00 9.863299452279647439e-02 1.587378979443398563e+01 1.150794478284773215e+00 -8.208850689177079607e-01 4.999375722679201273e-01 5.857082911963912508e+00 1.884140957065255639e-02 1.745780971260419909e-02 2.884087509280694128e+00 1.998217419786224233e-02 1.423110904204578919e-01 2.652593871669811296e-02 1.423110904204578919e-01 -1.254486083984375000e+00 -3.283736022118080466e+00 1.353159261583332729e+01 5.298396070396047339e-05
1.185992110627940965e+00 1.133393693673691999e-01 2.481169393857992844e+01 1.987967321007331201e+00 -8.153024219221436386e-01 -3.520632169474854356e-01 5.568874304808016262e+00 3.630676474399941855e-03 1.839015096049538209e-02 3.202110797651227081e+00 2.086992799957216801e-02 1.465537935796991931e-01 2.706618327503375679e-02 1.465537935796991931e-01 -1.108139038085937500e+00 -3.444530941465764329e+00 1.353159261583332729e+01 5.222395857243613995e-05
1.185774253049649118e+00 9.370146746557223016e-02 3.224999561940376935e+01 2.722222219566503121e+00 -8.350065434077578175e-01 -6.610183924381252130e-01 5.578055069686105760e+00 1.164811706014657472e-02 2.788040619316974403e-02 7.694846286987703898e+00 1.870492889891147564e-02 1.438088508917689801e-01 2.587312277388614107e-02 1.438088508917689801e-01 -9.366149902343750000e-01 -3.444349142526590413e+00 1.353159261583332729e+01 6.200699571950092648e-05
1.186703910098269033e+00 1.032813719441393191e-01 2.840057230206562977e+01 2.287170764494731223e+00 -8.269443508971618950e-01 -3.872859856328443318e-01 5.596491895034846564e+00 2.659398721487444064e-02 1.474855050419866809e-04 1.190817070397087818e+01 1.732722621901984852e-02 1.362010756811241063e-01 2.635529131293564906e-02 1.362010756811241063e-01 -9.291076660156250000e-01 -3.430649716540636884e+00 1.353159261583332729e+01 6.333600476292191390e-05
