# mc delta_mc R14 log_alpha_dyn log_f_disk beta_phi theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186119839270838305e+00 1.160673680317418771e-01 2.567711723405845703e+01 2.028656122397700212e+00 -8.328397604724023795e-01 -3.734934459748237012e-01 5.717277102513030229e+00 4.331762703078286848e-03 5.926277270938947253e-03 1.100200635331734844e+01 1.932638176060557170e-02 1.434524645057456693e-01 2.599634889283064867e-02 1.434524645057456693e-01 -6.956634521484375000e-01 -3.358437940934266397e+00 1.351895117992415862e+01 8.755704065495969329e-05
1.186991242750331299e+00 1.346479918651447560e-01 1.628018239185200500e+01 1.037116134491397057e+00 -8.056797069815282430e-01 4.492838349595568159e-01 5.352574381039955753e+00 1.764941587529965383e-02 2.182313788518875589e-03 1.858262338845538508e+01 1.900932742040165047e-02 1.389164637726099938e-01 2.748468291417436107e-02 1.389164637726099938e-01 -1.349945068359375000e+00 -3.563041726285243183e+00 1.351895117992415862e+01 3.709213945405834397e-05
1.185718792656518250e+00 1.054974173978002749e-01 3.197754412289189929e+01 2.702399014252439002e+00 -8.079685496355760721e-01 -6.692862786867271874e-01 5.612081883043059882e+00 2.802806119417436403e-02 2.003828991812658597e-02 5.930660641350725903e+00 2.058661577075545854e-02 1.423236173434857810e-01 2.753472985943977366e-02 1.423236173434857810e-01 -1.722961425781250000e+00 -3.421941717234795011e+00 1.351895117992415862e+01 2.941452865555956823e-05
1.186249552892510328e+00 1.805761179659735594e-01 2.012967244176277859e+01 1.141655585870747780e+00 -8.187664670232197572e-01 -1.373544949290155526e-01 5.795701624999741064e+00 3.044219981918998633e-02 2.193891920901734627e-02 1.152251958215952676e+01 1.813153758007981717e-02 1.416879297349596944e-01 2.680996913866166495e-02 1.416879297349596944e-01 -1.350143432617187500e+00 -3.290141349716276586e+00 1.351895117992415862e+01 4.872085073271279951e-05
1.187057812598865336e+00 1.776379408340237886e-01 1.954517047629318682e+01 1.167132396901618741e+00 -8.215078150526733403e-01 -7.085794475641059298e-02 5.113254311791926021e+00 2.231096182400374786e-02 3.505216652662859061e-02 5.253107374388446438e+00 2.100686385596300595e-02 1.421912132803811180e-01 2.663130250952078920e-02 1.421912132803811180e-01 -1.959014892578125000e+00 -3.687827179214331341e+00 1.351895117992415862e+01 1.780625491807270617e-05
1.185665263865750108e+00 5.484147058775534767e-02 1.612881612620273586e+01 1.273489895163744112e+00 -8.053088215660805238e-01 5.357338491340313258e-01 5.531702107498996490e+00 1.339642841664032483e-02 2.962028163683357029e-02 4.151229109214463087e+00 2.000861091175368256e-02 1.408966321137378186e-01 2.754739464167801910e-02 1.408966321137378186e-01 -1.275909423828125000e+00 -3.478191968028623737e+00 1.351895117992415862e+01 4.347953968602384520e-05
1.185924164383189261e+00 5.046798418045028017e-02 2.817555096009741789e+01 2.498057115558490082e+00 -8.390158731918612167e-01 -4.200500320820480527e-01 5.614457125578513619e+00 2.146525287685421488e-02 3.142158509503481002e-03 8.333572434895053505e+00 2.253605255150980050e-02 1.477228182762873876e-01 2.563391142046998403e-02 1.477228182762873876e-01 -2.182739257812500000e+00 -3.430771853333374199e+00 1.351895117992415862e+01 1.840975626913577174e-05
1.186472612255863313e+00 2.321275438973262606e-01 2.270488541514011160e+01 9.701738850328966990e-01 -8.276901838703182301e-01 -7.068557638058776682e-01 5.510962377181667371e+00 2.715639632819114024e-02 8.328842869013728528e-03 7.278112900605401947e+00 1.842661523035664731e-02 1.416386655844431575e-01 2.627266329379874393e-02 1.416386655844431575e-01 -4.885711669921875000e-01 -3.426670068364811694e+00 1.351895117992415862e+01 1.005998364479830106e-04
1.185973008867215128e+00 5.339812155329182880e-02 1.942496208205686159e+01 1.563673002088850295e+00 -8.506780850219093359e-01 1.611450688666103415e-01 5.539609189138181122e+00 3.342187640880613791e-02 1.091302563193824113e-02 6.036878986703516858e+00 1.863171274948612413e-02 1.460247389544486740e-01 2.492774874614667527e-02 1.460247389544486740e-01 -4.211578369140625000e+00 -3.473545640757275343e+00 1.351895117992415862e+01 2.319305662219380654e-06
1.185783279240236521e+00 7.691599796540792011e-03 2.486018147010626222e+01 2.192170294369404360e+00 -8.284929482368953435e-01 -2.826369507246025981e-01 5.615527725854589036e+00 3.051611979156472476e-02 1.649193864150250849e-02 4.844178334588550960e+00 2.155575116435073241e-02 1.532318928169841832e-01 2.625955692293371890e-02 1.532318928169841832e-01 -2.101943969726562500e+00 -3.433263959398817011e+00 1.351895117992415862e+01 1.990923985179154693e-05
1.186739802131757227e+00 1.913744774115595515e-01 2.862567527921575561e+01 1.939124378171851903e+00 -8.220575958343979694e-01 -8.700666034167713336e-01 5.344756840070578718e+00 1.534362122868725880e-03 2.304738605069654722e-02 1.861013164307458556e+00 2.034694042637714972e-02 1.363772870270577586e-01 2.664835770225195202e-02 1.363772870270577586e-01 -1.675552368164062500e+00 -3.545016776165315964e+00 1.351895117992415862e+01 2.727096881310686478e-05
1.185636292661396363e+00 5.789824484335060611e-02 1.341381891277702110e+01 9.777948763590476045e-01 -7.928327524998468601e-01 9.287051804654529175e-01 5.713766850278502396e+00 2.611101442919298854e-02 8.801924468199977952e-03 5.530738369705661128e+00 1.876193185439712849e-02 1.355067485023522256e-01 2.697016613215583516e-02 1.355067485023522256e-01 -1.005294799804687500e+00 -3.373097813866762884e+00 1.351895117992415862e+01 6.330721182747600618e-05
1.186481614875889878e+00 1.235538647985104516e-01 2.093887156540615280e+01 1.559920071397482566e+00 -8.276505035889385464e-01 2.207139599312052392e-02 5.645773117400154639e+00 6.053246292411681648e-03 4.863886767186665315e-03 7.486011908273213500e-01 2.016318539873084709e-02 1.386250996331303553e-01 2.629069358829185313e-02 1.386250996331303553e-01 -4.610595703125000000e-01 -3.396902009201544281e+00 1.351895117992415862e+01 1.065303890609037312e-04
1.186590194718796676e+00 2.389692796603307967e-01 1.601401219327338055e+01 3.048210672280831091e-01 -8.193890490725859177e-01 1.425133041399984646e-01 5.688186431903011986e+00 1.008168598422680591e-02 7.616918517621618610e-03 5.144763705338911031e+00 2.090364215981308643e-02 1.426987991732416861e-01 2.633685050760672594e-02 1.426987991732416861e-01 -6.883087158203125000e-01 -3.320391899482377784e+00 1.351895117992415862e+01 9.162381728888199784e-05
1.185808383493566875e+00 1.419881395710374528e-01 1.765115523949155119e+01 1.110698334029124323e+00 -8.211717352010488025e-01 3.367660457811729735e-01 5.620349156007490521e+00 3.246678613145819077e-03 2.178877054480895387e-02 1.546651173236157639e+01 1.784397394657559130e-02 1.351456163060859861e-01 2.661636507099971599e-02 1.351456163060859861e-01 -7.867584228515625000e-01 -3.406100142454713708e+00 1.351895117992415862e+01 7.621309527648210817e-05
1.186253233235885052e+00 8.596180240357363667e-02 1.339085904814486838e+01 9.406470635919090828e-01 -8.031528907309971599e-01 7.331096032287182096e-01 5.669877858919527114e+00 2.068392550055757687e-02 1.989802952564913643e-02 5.442178973183200874e+00 1.980634646768251669e-02 1.481743313022841346e-01 2.617447045313269285e-02 1.481743313022841346e-01 -8.968658447265625000e-01 -3.392825626352163670e+00 1.351895117992415862e+01 6.917921084527264744e-05
