# mc delta_mc R14 log_alpha_dyn log_f_disk beta_phi theta a1z a2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186149581532324415e+00 4.423210072869484533e-01 1.125814585046881078e+01 1.774986959557494082e+00 -1.113035205936904637e+00 7.390669302265120422e-01 5.524743524182946786e+00 5.894910025854110253e-03 1.500499974270688708e-02 8.863607402560852222e+00 2.050094696769746636e-02 1.450480066962472614e-01 2.634039626992324551e-02 1.450480066962472614e-01 -2.768249511718750000e-01 -3.511846546673538239e+00 1.404502199508288562e+01 2.842720086509131750e-04
1.186534793739772109e+00 4.592097077617887102e-01 1.232913572146762782e+01 9.508131830821735520e-01 -1.113441967515647057e+00 3.001953613535988108e-01 5.360300566896977870e+00 2.133730182338151871e-03 1.745569321363188778e-02 8.272764282839874639e+00 1.852563956302780146e-02 1.410097998170034284e-01 2.656475871677032100e-02 1.410097998170034284e-01 -6.228179931640625000e-01 -3.584344140281006563e+00 1.404502199508288562e+01 1.870621512246866823e-04
1.186905459048995803e+00 4.817166360495240829e-01 1.302397573676512721e+01 1.213238289984163165e-01 -1.112093774825063219e+00 -8.927525810738609624e-02 5.339864154002284202e+00 6.752885001914014224e-03 2.468810199453360527e-02 5.300715139664341713e+00 2.036985765355757774e-02 1.385535265635814417e-01 2.690499385614647521e-02 1.385535265635814417e-01 -1.054534912109375000e+00 -3.563363704876961968e+00 1.404502199508288562e+01 1.240524472138932073e-04
1.186153269810642064e+00 4.277194130436710040e-01 1.004184752224673183e+01 2.169342257906243354e+00 -1.092852627875755545e+00 1.202783617655257320e+00 5.320524593005122149e+00 2.602120708300478466e-02 1.045453164580059137e-02 6.517042082533521352e+00 1.978796403276613519e-02 1.476943590350852376e-01 2.731764704695599510e-02 1.476943590350852376e-01 -1.523605346679687500e+00 -3.649727146449883719e+00 1.404502199508288562e+01 7.118417706170175488e-05
1.186409095177127559e+00 3.905058616384070036e-01 1.355180983316729026e+01 -5.325084470605025988e-01 -1.081893874029497216e+00 2.368887020215748596e-02 5.887778041642261151e+00 1.594213114510213691e-02 3.912539291326444339e-03 8.578032823450381983e+00 1.860404983936504372e-02 1.442359299748869894e-01 2.705341707827278730e-02 1.442359299748869894e-01 -2.130554199218750000e+00 -3.366774715608270352e+00 1.404502199508288562e+01 5.148415753904793889e-05
1.185741711688303335e+00 4.174931004118331290e-01 9.918832511780262706e+00 2.131101398334270591e+00 -1.088751065853494904e+00 1.173858403049538923e+00 5.916907395389440438e+00 3.798402134508905431e-02 2.298528926481451309e-02 6.983683194792669191e+00 2.095336059323489250e-02 1.528349935763680667e-01 2.735649375778683237e-02 1.528349935763680667e-01 -4.625656127929687500e+00 -3.319631944850614413e+00 1.404502199508288562e+01 4.451828816666350457e-06
1.186437402692902543e+00 3.621405039533345249e-01 8.675043595369944072e+00 1.853294285846110334e+00 -1.073146443077264145e+00 1.787903241725065762e+00 5.485712196237355620e+00 2.351341504690871928e-02 1.799398943707107221e-02 7.839057850768471170e+00 2.058514898387509007e-02 1.392428249408965424e-01 2.657204106253425319e-02 1.392428249408965424e-01 -5.552520751953125000e-01 -3.626799837798627468e+00 1.404502199508288562e+01 1.918187933173159314e-04
1.186112812800096172e+00 2.833582532224745432e-01 1.112387175394831118e+01 9.837843521106126587e-01 -9.935163851393877810e-01 9.948602524344842823e-01 5.453899611331584296e+00 2.071440894824188098e-02 2.065129266810204756e-02 8.010384620425845981e+00 1.806383290653548745e-02 1.427045618590511156e-01 2.637621522080663486e-02 1.427045618590511156e-01 -7.834777832031250000e-01 -3.713820310100074185e+00 1.404502199508288562e+01 1.399527633828728020e-04
1.186046291030044220e+00 5.926595456149844621e-01 1.177971132077710514e+01 3.200694251202983232e+00 -1.125155978642565113e+00 6.795972004869202943e-01 5.615155281224762263e+00 1.141314753750457406e-02 2.354579501441203537e-02 1.387749744049687241e-02 1.765798362564310539e-02 1.351997424698286043e-01 2.646754229459911262e-02 1.351997424698286043e-01 -8.730468750000000000e-01 -3.201768758433978679e+00 1.404502199508288562e+01 2.135321530588232125e-04
1.186792684568714451e+00 4.493773771532477701e-01 1.269542309386551793e+01 5.246478384034045650e-01 -1.136001789438970677e+00 1.076435321654067856e-01 5.953991955849947004e+00 1.492493091246780215e-02 4.827051144469098748e-03 1.102786105731367483e+00 1.981171784939347869e-02 1.449585300900910201e-01 2.508481865069032979e-02 1.449585300900910201e-01 -3.578918457031250000e+00 -3.257026283748468476e+00 1.404502199508288562e+01 1.349957648932327271e-05
