# mc delta_mc R14 alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185517063024621454e+00 4.672249227278484074e-02 1.637230853309877432e+01 9.397307626020214855e-01 1.234524114139357032e+00 5.906891774063297795e+00 9.731680282511845359e-02 8.429394097471953895e-02 2.466786504503689414e+00 2.300349617948396416e-02 1.811568328442715869e-01 1.000000000000000056e-01 1.811568328442715869e-01 -2.857947633007825061e+00 -6.658569321233493099e+00 1.699982999109069937e+01 1.540222756775947897e-04
1.185551838698192251e+00 4.756169170823793674e-02 1.611175024548823842e+01 1.932068494613117693e+00 1.265125568453541460e-01 5.599336534593870596e+00 1.120799805578172742e-01 6.239903477024476980e-02 7.028481126237476673e+00 2.417382670659872293e-02 1.834589992078655696e-01 1.739613856467224148e-02 1.834589992078655696e-01 -5.252724033398408210e+00 -6.833713004044038364e+00 1.699982999109069937e+01 1.178912098758184760e-05
1.185528979648024395e+00 4.830225551611468104e-02 1.661163255926069127e+01 4.051261732163923268e-01 5.809793302078442245e+00 5.813939832223086412e+00 7.355375597862516546e-02 7.647689476707779377e-02 1.732012684590914731e+00 2.381043120680139888e-02 1.789831401850752735e-01 1.000000000000000056e-01 1.789831401850752735e-01 -3.541990691210941122e+00 -6.710950794153876409e+00 1.699982999109069937e+01 7.374938882646653619e-05
1.185542407335161474e+00 4.544525765046879967e-02 1.627515531401335380e+01 1.294090363761498885e+00 1.181878213830600544e+00 5.841426279557423662e+00 1.018024478757334483e-01 8.028511939560462052e-02 3.560378963965014520e+00 2.283475166921115906e-02 1.820921804061786387e-01 1.000000000000000056e-01 1.820921804061786387e-01 -3.791196031835937674e+00 -6.695679714282517736e+00 1.699982999109069937e+01 5.836628709251186952e-05
1.185522737808666793e+00 4.735925606791779180e-02 1.659991622944884071e+01 4.777569451264281897e-01 6.732423425316745869e-01 5.795368841362754431e+00 6.451856707049129225e-02 8.599316953214036774e-02 5.293402212463064416e+00 2.583727006381620131e-02 1.791361388077128414e-01 6.095922545261873993e-02 1.791361388077128414e-01 -4.398496283593772205e+00 -6.721609423324018451e+00 1.699982999109069937e+01 3.098516329509195535e-05
1.185613480698982647e+00 4.767052589895359044e-02 1.610456435186537050e+01 1.757369532368757703e+00 -1.684952289586166385e+00 6.052554384490804296e+00 7.529385868189311659e-02 1.044200607017577720e-01 4.593207310735213156e+00 2.169686859669840359e-02 1.835264980938586254e-01 2.692157624902487322e-04 1.835264980938586254e-01 -7.021524487304674267e+00 -6.576691164427766800e+00 1.699982999109069937e+01 2.599706467969288308e-06
1.185528130762448784e+00 4.872642993629346109e-02 1.642473607271656988e+01 7.810594848687787417e-01 4.846203734753719239e+00 5.745558800943159738e+00 5.812872124844546684e-02 8.985054350333143702e-02 2.942586709121656874e+00 2.430258413814460547e-02 1.805849368076066774e-01 1.000000000000000056e-01 1.805849368076066774e-01 -5.985688724023418672e+00 -6.749797821442298229e+00 1.699982999109069937e+01 6.160313369884065885e-06
1.185535647847957064e+00 4.640942612121599919e-02 1.707486266202488423e+01 4.843343123402588102e-02 3.270854760812979656e+00 5.584898164919433583e+00 7.280041393621226875e-02 9.645846155617682216e-02 5.354539142742233970e+00 2.225401536550468753e-02 1.752162627819575103e-01 1.000000000000000056e-01 1.752162627819575103e-01 -2.496785614843730627e+00 -6.842177937531308984e+00 1.699982999109069937e+01 1.839475460361442302e-04
1.185562989370706033e+00 4.672284268487403303e-02 1.684999577183502950e+01 1.823129233450835052e-01 -2.448578652055382499e+00 5.866742897812021518e+00 6.445269653462341874e-02 9.688278903702808587e-02 5.440022020818473969e+00 2.716508140372026620e-02 1.770555463722793821e-01 4.532747111999649791e-05 1.770555463722793821e-01 -5.179128261523430865e+00 -6.681195680069679455e+00 1.699982999109069937e+01 1.478022667282098980e-05
1.185602472071158209e+00 4.682549284849590182e-02 1.663168736690679950e+01 4.012724790575085132e-01 7.469386405313594990e-01 5.861236578609741343e+00 1.019784067346580364e-01 6.017069527446878424e-02 2.281444226667911579e+00 2.393354736466050264e-02 1.789022710196792598e-01 7.127639765220689094e-02 1.789022710196792598e-01 -5.062522368554652985e+00 -6.684264324533081947e+00 1.699982999109069937e+01 1.655730675832856155e-05
1.185539548460978310e+00 4.587738746945945606e-02 1.704549101511906883e+01 6.582556649530421633e-02 1.461934880800945358e+00 5.705854596886537955e+00 7.815958594808240789e-02 9.330965642305177887e-02 4.978496513884505426e+00 2.507504872609747984e-02 1.754856710824388433e-01 1.000000000000000056e-01 1.754856710824388433e-01 -2.215984587109346649e+00 -6.772782331067346284e+00 1.699982999109069937e+01 2.610853264800269170e-04
1.185580098129129567e+00 4.576034709047582111e-02 1.690074620170496544e+01 1.704467523577877230e-01 -2.943938969566612052e+00 5.637518168709913624e+00 9.286744501949016628e-02 8.949516825228891193e-02 3.775232786354297154e+00 3.085147938980803764e-02 1.766881288922708126e-01 1.414658264458262012e-05 1.766881288922708126e-01 -3.859589493554693718e+00 -6.811926856526967278e+00 1.699982999109069937e+01 4.852590812062872427e-05
1.185549896505452505e+00 4.898529769029451308e-02 1.667854373311207539e+01 3.119664823154165711e-01 2.346572613172388244e-01 5.827340827338734819e+00 8.820254142625956473e-02 9.523126413936121304e-02 2.081857292449541319e+00 2.451066820077712691e-02 1.783732859681930183e-01 2.311107066609446176e-02 1.783732859681930183e-01 -2.399330985546868078e+00 -6.703252518696133144e+00 1.699982999109069937e+01 2.329981909118305008e-04
1.185535984896532113e+00 4.652085937617927991e-02 1.706543671001689688e+01 4.953825491873393994e-02 -2.309817990792836784e-01 5.920852843935932697e+00 9.951398055620980232e-02 7.189399527835654835e-02 1.852440832234432122e-01 2.172522064078628856e-02 1.752867557334803483e-01 7.444140494042917819e-03 1.752867557334803483e-01 -1.978243380664025608e+00 -6.650709674241623404e+00 1.699982999109069937e+01 3.741516283116886232e-04
1.185529238009329633e+00 4.882179908101325072e-02 1.680124996249807623e+01 1.606069568537940029e-01 -3.997489560230643946e+00 5.739682415417380668e+00 6.214335711363454251e-02 9.082068927548045401e-02 2.965821682803155390e+00 2.109331836543974076e-02 1.773407178537528273e-01 1.348792469511811617e-06 1.773407178537528273e-01 -4.983070327539053324e+00 -6.753136971458912008e+00 1.699982999109069937e+01 1.673340288430802145e-05
1.185600928481501226e+00 4.640990475559150785e-02 1.662372456878796001e+01 4.000439228598843266e-01 6.307702310067831997e-01 5.752107383012107888e+00 1.037963142688252266e-01 8.187444877110909569e-02 6.666655203876397096e-01 2.274816264115031572e-02 1.789931586835923349e-01 5.399077489234345439e-02 1.789931586835923349e-01 -3.120571194921865299e+00 -6.746268483557993356e+00 1.699982999109069937e+01 1.085026411381986828e-04
1.185609456537261686e+00 4.917525777061901998e-02 1.599567137315681187e+01 2.026921422155202546e+00 6.999302339728679989e+00 5.712476378269971455e+00 8.914887463358092679e-02 7.739136730993396995e-02 1.265585479337538288e+00 2.059313225461448585e-02 1.844471821758767449e-01 1.000000000000000056e-01 1.844471821758767449e-01 -8.590081325781227406e+00 -6.768561116046786452e+00 1.699982999109069937e+01 4.470752972297178137e-07
1.185550145524956633e+00 4.681258988587433389e-02 1.668846625053879862e+01 3.576141620192881954e-01 2.313337333679608143e+00 5.916557223639152596e+00 7.032228324322389867e-02 9.872843831003352832e-02 8.948077171552295539e-01 2.664204073771420794e-02 1.784114829002181879e-01 1.000000000000000056e-01 1.784114829002181879e-01 -3.940901146093722218e+00 -6.653084500506366794e+00 1.699982999109069937e+01 5.243784412873236039e-05
1.185580146841047400e+00 4.736761732068874714e-02 1.635995935722056771e+01 1.040393602495336633e+00 -2.619654968592486366e+00 6.248672360216186661e+00 8.168631810094501011e-02 8.698819772817983909e-02 5.232983732156613499e+00 2.513718609779539911e-02 1.812388791363926943e-01 3.105863655003310211e-05 1.812388791363926943e-01 -6.335250670117147820e+00 -6.468109356913119612e+00 1.699982999109069937e+01 5.756065488665437550e-06
1.185550409996941612e+00 4.651824638171967591e-02 1.696446637362481979e+01 9.060537610487900961e-02 -1.148067470046995331e-01 5.742494684960046669e+00 9.509665984852905263e-02 6.624137311677835704e-02 6.787100531709858942e+00 2.328244258004481468e-02 1.761157194739764176e-01 9.726332168394271477e-03 1.761157194739764176e-01 -3.171146125976548547e+00 -6.751779262429837836e+00 1.699982999109069937e+01 1.025847006396692535e-04
