# mc delta_mc R14 alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.185531616572909286e+00 6.427123998374862897e-04 1.168184039585290535e+01 2.487093472314209741e+00 -2.273577584333771107e+00 6.364108463354129164e+00 8.086860526462841259e-02 7.368558491387421083e-02 2.994901685974290295e+00 1.232063739134988366e-02 2.400024992189389028e-01 7.276731848930436352e-05 2.400024992189389028e-01 -3.700703814453135010e+00 -6.407615773098581435e+00 1.921546957968777036e+01 1.860559749334305833e-04
1.185614078914424052e+00 1.149143694219006322e-03 1.169084652679131864e+01 2.379670440963282285e+00 -1.312108043893976506e+00 6.793697075774423055e+00 7.897545372000969177e-02 6.587067476196113713e-02 6.950892741213532844e+00 1.181039698632514907e-02 2.398613423415778545e-01 6.925528013447166363e-04 2.398613423415778545e-01 -1.338634333867187820e+01 -6.176923107850040395e+00 1.921546957968777036e+01 1.456841732860666423e-08
1.185557425730947800e+00 1.269036884821870582e-03 1.168885634417505592e+01 2.388615448177409117e+00 -4.242921653548517469e+00 6.134379353100563037e+00 6.913602180926152474e-02 8.603178734474858924e-02 6.399156384954878263e+00 1.185094025755679611e-02 2.398858518531866713e-01 8.119509535989332688e-07 2.398858518531866713e-01 -3.593577649999986079e+00 -6.533950524861039888e+00 1.921546957968777036e+01 1.825162082910593666e-04
1.185585066703519042e+00 4.515465073386024444e-03 1.165259522305332496e+01 2.281450799168200039e+00 -2.950467195864709513e+00 6.067271778766177626e+00 8.013210277874328880e-02 8.538299257501112682e-02 3.273480666376938686e+00 1.124511020602267722e-02 2.405098796636472303e-01 1.592925570342828615e-05 2.405098796636472303e-01 -5.120806141796862221e+00 -6.571214270633553234e+00 1.921546957968777036e+01 3.818133348902100438e-05
1.185517223193393699e+00 7.188082520800190452e-03 1.159255823675524333e+01 2.370159180531187015e+00 -2.303772553586588057e+00 6.482939223963619213e+00 7.342659993951118624e-02 8.798878966862883066e-02 1.538153955821783825e-01 1.154061274821795505e-02 2.415325051834013026e-01 6.494438842867443159e-05 2.415325051834013026e-01 -8.944595517968764398e+00 -6.343034286372217778e+00 1.921546957968777036e+01 1.047846758238909185e-06
1.185519871696742111e+00 5.685007162114778800e-03 1.163824332984665766e+01 2.386607839508687601e+00 -6.486149630354955953e-01 5.895294911337055410e+00 7.654990775742462339e-02 8.286131238004650068e-02 6.070938240481908110e+00 1.173581219081088096e-02 2.407436364579267907e-01 3.187052290484368011e-03 2.407436364579267907e-01 -4.442059203515640320e+00 -6.667690744671533665e+00 1.921546957968777036e+01 6.834833536535704331e-05
1.185546708230371449e+00 6.741463106985482595e-03 1.160896404325403353e+01 2.382186530298368243e+00 -3.476287811220884816e+00 6.194129991507605126e+00 8.042396190935924283e-02 7.134691390892904106e-02 5.465325108078409322e+00 1.164189518640787631e-02 2.412531282596559468e-01 4.508511369334687453e-06 2.412531282596559468e-01 -5.891466995312526933e+00 -6.500839174825042477e+00 1.921546957968777036e+01 1.895487181512020956e-05
1.185603053945990748e+00 1.393866816487148406e-03 1.168757216271449906e+01 2.494824311136850881e+00 -4.853282687804814088e-01 5.634475469664711689e+00 6.513938984782625952e-02 8.375427918380765058e-02 7.895080915036420066e+00 1.237417547070591983e-02 2.399155532904658772e-01 4.642513965325422050e-03 2.399155532904658772e-01 -7.009567323046894671e+00 -6.816168822149028195e+00 1.921546957968777036e+01 4.520537990905045512e-06
1.185553745812019777e+00 4.106074110450996795e-03 1.164661414988979793e+01 2.403088666321913980e+00 -6.552915832744536928e-01 5.338387152947157155e+00 7.498924048677471643e-02 7.564615795620222016e-02 2.051078716802198443e+00 1.182589801704063068e-02 2.406091394278837559e-01 3.053602371582593133e-03 2.406091394278837559e-01 -7.893919908984400990e+00 -6.988084436448407821e+00 1.921546957968777036e+01 1.572022192165367276e-06
1.185575027435729289e+00 3.664853248768289423e-03 1.165096846132928299e+01 2.491847767657304757e+00 3.286106443800194121e-01 6.158396620036783453e+00 6.243854680271009733e-02 8.637304036852132272e-02 4.093678342861228003e+00 1.227150026540441141e-02 2.405384615288780892e-01 2.935586054449427357e-02 2.405384615288780892e-01 -4.280868872265642722e+00 -6.520612457345244195e+00 1.921546957968777036e+01 9.302663284961045723e-05
1.185508102104705141e+00 3.170047010529999671e-03 1.166696718895664198e+01 2.369611881285949018e+00 -3.438626320009562143e+00 6.488536805658027262e+00 8.762619617900858915e-02 8.197769121995018837e-02 3.772347182366100782e+00 1.170960640178237734e-02 2.402517593044571909e-01 5.175255711347040609e-06 2.402517593044571909e-01 -4.044947925390630417e+00 -6.340066037484842099e+00 1.921546957968777036e+01 1.410836805783758730e-04
1.185524858019659566e+00 4.950306938163333281e-03 1.165710358814331471e+01 2.486126905950972965e+00 -1.734556980194950970e+00 6.393170347243479767e+00 7.862179734685034727e-02 8.452902783479086801e-02 7.145924155474170369e+00 1.227116444353078262e-02 2.404204318980183719e-01 2.691970161217982233e-04 2.404204318980183719e-01 -6.914783608203151744e+00 -6.391758066665357063e+00 1.921546957968777036e+01 7.597547376762856943e-06
1.185519880937514925e+00 4.049045476978214986e-03 1.166688598767716023e+01 2.465535239755294317e+00 -1.708153168645369036e+00 6.253859931296088526e+00 8.490932296223398235e-02 8.203829134785731170e-02 5.038402960273590914e+00 1.218886766763136419e-02 2.402531913630036042e-01 2.858034703078963070e-04 2.402531913630036042e-01 -3.775621710156258359e+00 -6.467983069792339279e+00 1.921546957968777036e+01 1.625137114794348095e-04
1.185622964359819731e+00 1.644068961911652010e-05 1.169628038439594597e+01 2.461487765958460194e+00 -8.009400757174477414e-01 5.791463141332690689e+00 7.288298141379041806e-02 8.537507760666573908e-02 3.059142282669364832e-01 1.222887605288861326e-02 2.397699425974439968e-01 2.200516968546007302e-03 2.397699425974439968e-01 -4.876624117968759720e+00 -6.726438852563766169e+00 1.921546957968777036e+01 4.173350093320519648e-05
