# mc delta_mc R14 alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186431478532562700e+00 3.322822656914639627e-01 1.196414331062135439e+01 3.067383980180290320e-02 2.515677234882887081e-01 5.747411709404589786e+00 3.624563600947847131e-02 3.036542866261451173e-02 7.701027819466673030e+00 2.643690348435054696e-02 2.008854572833798646e-01 2.274705891447296319e-02 2.008854572833798646e-01 -6.036682128906250000e-01 -6.610436674901965404e+00 1.798789580108916297e+01 1.578955608410906233e-03
1.186427935898610064e+00 3.319561682102925015e-01 1.196372106037592076e+01 3.109257369354996581e-02 -4.206946985336860179e-01 6.006057635784610937e+00 1.178952477972182618e-02 2.844822966570081588e-02 6.354799674966357337e+00 2.632808799535965236e-02 2.009572213954274877e-01 4.896457770292227465e-03 2.009572213954274877e-01 -6.648864746093750000e-01 -6.464614812311133107e+00 1.798789580108916297e+01 1.718354629137343196e-03
1.186650821241925335e+00 3.312947725868253257e-01 1.196342957057349032e+01 3.044421549319704240e-02 -1.345476299754285732e+00 5.583084463458458657e+00 1.485929588544449356e-02 7.655683886316235615e-03 1.759080267532902475e+00 2.491034974741974939e-02 2.011487687229924770e-01 5.887079844477291187e-04 2.011487687229924770e-01 -1.296920776367187500e+00 -6.705359031981538820e+00 1.798789580108916297e+01 7.179098324156100476e-04
1.186637566002640476e+00 3.307707457017363684e-01 1.196037771998529742e+01 3.159217123964080248e-02 2.779025309237894703e-01 5.735133818355627078e+00 1.125632510457419584e-02 5.538660571881779716e-03 7.628587079831069317e+00 2.514398853593271047e-02 2.013241139412023095e-01 2.496450170172621538e-02 2.013241139412023095e-01 -4.300537109375000000e-01 -6.618616839439344979e+00 1.798789580108916297e+01 1.863018382197361789e-03
1.186358213945628126e+00 3.269663647009746210e-01 1.192014781353219455e+01 3.783351344591998761e-02 2.017347186055343577e+00 5.504887909943033897e+00 2.471599115882326322e-02 4.673906580312880282e-02 6.402237281352609166e+00 2.479350840453679178e-02 2.030138729934928832e-01 1.000000000000000056e-01 2.030138729934928832e-01 -3.342147827148437500e+00 -6.754656526976394737e+00 1.798789580108916297e+01 8.839535595273005620e-05
1.186048345137536986e+00 3.283445451486612932e-01 1.192182843919391821e+01 3.835920059510214419e-02 7.119026549388183689e+00 5.664930125620637469e+00 1.678183394377146670e-02 3.491758998630031113e-02 7.297028490814304824e+00 2.695453949037220770e-02 2.026334813933305390e-01 1.000000000000000056e-01 2.026334813933305390e-01 -2.319427490234375000e+00 -6.661422721251183177e+00 1.798789580108916297e+01 2.698249934486759137e-04
1.186049848625603254e+00 3.230036948380891615e-01 1.187427264847925379e+01 4.108674314181266773e-02 2.889439953668200278e+00 5.862705279068863184e+00 4.211422772255997253e-03 2.190047526078620424e-03 5.583005238503512935e+00 2.216259348080414776e-02 2.048548633001713304e-01 1.000000000000000056e-01 2.048548633001713304e-01 -3.945495605468750000e+00 -6.553468771316886432e+00 1.798789580108916297e+01 5.912532899129583578e-05
1.186511664765157459e+00 3.227316838845574187e-01 1.188292263498438395e+01 4.104289929338364451e-02 4.165402110548391157e+00 6.286739750728408183e+00 2.243003130460506991e-02 3.454747358917435035e-02 1.456980288967673509e+00 2.186067876334290769e-02 2.047990291288869780e-01 1.000000000000000056e-01 2.047990291288869780e-01 -5.367187500000000000e+00 -6.317122872173436043e+00 1.798789580108916297e+01 1.807108985515552268e-05
1.186674414376894138e+00 3.311723003460758097e-01 1.196059026904851663e+01 3.199598942791989642e-02 1.812112213046276621e-01 5.898320326269441694e+00 7.557244135850973120e-03 4.660545598522156802e-02 1.642259222601221147e+00 2.602799110207859590e-02 2.012527398338963547e-01 1.962522737546169502e-02 2.012527398338963547e-01 -4.094238281250000000e-01 -6.525646829698533935e+00 1.798789580108916297e+01 2.087146560580985938e-03
1.185928702795602252e+00 3.293519135468715997e-01 1.193154245291755267e+01 3.704649002493424353e-02 -4.290211886404453612e-01 5.760225754727315461e+00 5.334444009270577353e-02 4.145451166261647502e-02 2.821272707766242505e+00 2.737609638068474668e-02 2.021596824112145696e-01 4.814279828103292837e-03 2.021596824112145696e-01 -1.611007690429687500e+00 -6.606170991840309092e+00 1.798789580108916297e+01 5.790825875444005795e-04
1.185903549495283649e+00 3.302547264422971973e-01 1.193543735462818134e+01 3.011796542776705443e-02 -3.368301138843130538e+00 5.955834363618605742e+00 1.129705724179298244e-02 4.106520029450640846e-02 7.661911106983176012e+00 2.333005011562114261e-02 2.018822460802018881e-01 5.435453853258057148e-06 2.018822460802018881e-01 -1.516052246093750000e+00 -6.494738743669104863e+00 1.798789580108916297e+01 7.118255007473841189e-04
1.186063580236839332e+00 3.231957527150364773e-01 1.187108926477960580e+01 4.806634837485523198e-02 -3.122919728105442161e+00 5.974682952930153057e+00 2.371323624780724212e-02 3.152269682581295557e-02 3.188662484634177119e-01 2.620041359431929742e-02 2.049069178452502249e-01 9.483805641233044356e-06 2.049069178452502249e-01 -4.037322998046875000e+00 -6.490219229990159988e+00 1.798789580108916297e+01 5.745956941527120734e-05
1.186525125272742454e+00 3.296192761846758468e-01 1.195926045460246989e+01 3.292003602585186900e-02 2.835362398140303108e-01 5.650904889203340886e+00 3.536727426969003135e-02 2.876504189080836271e-02 1.492604926969658408e-01 2.462141121320368664e-02 2.015401024763114335e-01 2.655488870595123369e-02 2.015401024763114335e-01 -3.255218505859375000e+00 -6.667938232836521095e+00 1.798789580108916297e+01 1.051583226440211990e-04
1.186332016480081686e+00 3.291571691010113376e-01 1.193828346104129068e+01 3.430139540590488451e-02 5.364064116552265560e+00 5.957948401948200967e+00 2.941644580468895376e-02 7.168890527527833293e-04 2.876013609534542326e+00 2.511670005631872621e-02 2.021255009826967708e-01 1.000000000000000056e-01 2.021255009826967708e-01 -7.391967773437500000e-01 -6.494164418165608410e+00 1.798789580108916297e+01 1.548841625930666909e-03
1.185649895448606106e+00 3.291111189940592041e-01 1.193807632224703319e+01 3.067744310355637050e-02 -1.139043536703123971e+00 5.733462897388553081e+00 2.997006390273646015e-02 2.535384984217409904e-02 4.503709927504762511e+00 2.230750909223280093e-02 2.019593874094379737e-01 9.927400962817843968e-04 2.019593874094379737e-01 -2.338760375976562500e+00 -6.621877718450512873e+00 1.798789580108916297e+01 2.753342167795049542e-04
1.186293104162641221e+00 3.274909685632761969e-01 1.192342403978259568e+01 3.358275587691059161e-02 -1.944364966099943359e+00 6.523496878715840275e+00 1.777989022808747557e-02 3.734066219554028898e-02 7.529831000703075539e+00 2.259260041156688562e-02 2.028140839132416273e-01 1.492453727394056639e-04 2.028140839132416273e-01 -5.601806640625000000e+00 -6.184407244545625737e+00 1.798789580108916297e+01 1.632030279120390360e-05
1.186258262909281713e+00 3.309369436499119410e-01 1.195403717083865835e+01 3.003102629071978044e-02 6.501363509957335474e+00 5.848220719922812449e+00 3.464536798755785130e-02 5.026191265624067178e-03 2.163807499629579745e+00 2.408869531346668688e-02 2.013590412611690472e-01 1.000000000000000056e-01 2.013590412611690472e-01 0.000000000000000000e+00 -6.554517337080432604e+00 1.798789580108916297e+01 3.053691454874480835e-03
1.186636942344595491e+00 3.259843124501475842e-01 1.190605345454606478e+01 3.722223541414876324e-02 -9.865882150960861297e-02 6.195824815925282891e+00 1.103044187240862992e-02 4.249596713692278815e-02 4.124005093188658044e+00 2.329703366657955022e-02 2.036364369843149946e-01 1.006916113205747094e-02 2.036364369843149946e-01 -4.139389038085937500e+00 -6.364222448835488599e+00 1.798789580108916297e+01 5.885120451230505656e-05
