# mc delta_mc R14 alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186664073591291668e+00 4.713151251408477516e-02 1.635440269916894351e+01 1.008449657582993098e+00 6.324411281830384368e+00 5.559159595894800354e+00 3.919157430274457926e-02 3.594363556381750119e-02 5.982570235841122575e+00 2.375262607442152341e-02 1.814336327815815331e-01 1.000000000000000056e-01 1.814336327815815331e-01 -4.009902954101562500e+00 -6.855999544422368253e+00 1.234728253479062765e+01 2.797291160120760219e-06
1.185643443676500874e+00 4.749870995993603351e-02 1.614401717415844928e+01 1.728967259994178995e+00 1.076429445244991179e+01 6.027441942024935884e+00 3.498201860910317689e-03 1.135539217565865663e-02 3.900891957342734528e+00 2.333165179090645330e-02 1.831794252649818766e-01 1.000000000000000056e-01 1.831794252649818766e-01 -3.987014770507812500e+00 -6.590708348776199266e+00 1.234728253479062765e+01 3.731576823953506977e-06
1.186065225084893315e+00 4.767553589304340117e-02 1.642788255122064101e+01 7.163031772222769877e-01 5.893125067439003217e+00 6.452983830272915000e+00 2.634916020147299795e-02 5.071723444179425389e-02 6.810752430636102694e+00 2.161976865108752519e-02 1.806814158585372532e-01 1.000000000000000056e-01 1.806814158585372532e-01 -6.246841430664062500e+00 -6.356117798943532016e+00 1.234728253479062765e+01 4.924288848738475730e-07
1.186387014980559096e+00 4.631587096259247305e-02 1.616885265940558369e+01 1.711073345056683070e+00 3.358144195602709381e+00 5.937581583129247775e+00 2.028254193583517093e-02 8.509176962394541036e-03 2.426714686499872542e+00 2.357438436077222144e-02 1.831087930803573793e-01 1.000000000000000056e-01 1.831087930803573793e-01 -4.550765991210937500e+00 -6.640599515245085627e+00 1.234728253479062765e+01 2.020183801590758205e-06
1.186261189470945387e+00 4.822458794426186940e-02 1.695328852206565529e+01 8.129393176759636130e-02 3.616246425309893375e+00 5.612927616536459219e+00 3.767297583638620252e-03 1.590001696229053837e-02 2.475758298534435298e+00 2.141738643771661649e-02 1.761947997394642806e-01 1.000000000000000056e-01 1.761947997394642806e-01 -1.670608520507812500e+00 -6.825213353000337158e+00 1.234728253479062765e+01 2.992613357041605421e-05
1.186364861649101154e+00 4.603198042555618763e-02 1.606770779039359809e+01 2.372663603407525468e+00 4.765307740649177504e+00 5.941315410050997059e+00 4.824156373628551292e-02 8.714449664311261362e-03 2.567829611920426913e+00 2.548376345143619007e-02 1.840447078544665827e-01 1.000000000000000056e-01 1.840447078544665827e-01 -5.841140747070312500e+00 -6.638549728963185181e+00 1.234728253479062765e+01 5.570298379733036923e-07
1.185979837798238901e+00 4.971041652448330433e-02 1.701828356605825121e+01 5.727834787973249547e-02 -1.909565506145257885e+00 5.710941749640674026e+00 1.411921228005767748e-02 2.798667996848317602e-02 5.377387583395229598e+00 2.275934448215616995e-02 1.755390698987207010e-01 1.686432811272956824e-04 1.755390698987207010e-01 -2.455703735351562500e+00 -6.769062197222548427e+00 1.234728253479062765e+01 1.443690928387161692e-05
1.185685577579982830e+00 4.861021495556712424e-02 1.662588803643574664e+01 3.785326346234051398e-01 -3.700154551757611987e+00 6.240207175806218309e+00 5.968088299396506367e-04 5.967892555615796762e-02 3.700488400253053811e+00 2.379499848361438241e-02 1.788619588298623886e-01 2.660034099558624658e-06 1.788619588298623886e-01 -4.175109863281250000e+00 -6.472534722884888403e+00 1.234728253479062765e+01 3.479572420099762283e-06
1.185661764454636558e+00 4.589578204194461053e-02 1.616408420006808200e+01 2.185474327922383164e+00 -3.279684566066095819e+00 6.174441854746957503e+00 5.754729145391852818e-02 3.918255126995260490e-02 5.414357400102786322e+00 2.932967496195912002e-02 1.830843737642346980e-01 6.550740646568240603e-06 1.830843737642346980e-01 -7.682907104492187500e+00 -6.509146521879180192e+00 1.234728253479062765e+01 1.005098424195757064e-07
1.185723392874194371e+00 4.481435877095351489e-02 1.654341026908845791e+01 7.021872826168739090e-01 9.525412269359214701e-01 5.556964306456507963e+00 1.225300610561241496e-02 3.502241305816741757e-02 3.079456264002732979e+00 2.789720584627363234e-02 1.797855652307292496e-01 1.000000000000000056e-01 1.797855652307292496e-01 -6.284164428710937500e+00 -6.858316943448503622e+00 1.234728253479062765e+01 2.870992318109777057e-07
