# mc delta_mc R14 alpha_dyn log_f_disk theta s1z s2z sigma_sys md vd mw vw lnL lnp lnps weights
1.186188021338414389e+00 4.364345075603102281e-03 1.164136704561352609e+01 2.448041801298266762e+00 8.915032099723855241e-01 6.553596453790972554e+00 4.990123276499419669e-03 4.258778775817136791e-02 2.624735199021107412e+00 1.202322673718392299e-02 2.408072682935111786e-01 1.000000000000000056e-01 2.408072682935111786e-01 -4.377777099609375000e+00 -6.304404491677722433e+00 1.384897892839439315e+01 1.202384372974256636e-05
1.186075789802475189e+00 2.395073872917578232e-03 1.167962084777425602e+01 2.395237353749401610e+00 2.590716927318046370e-01 6.102822329484371089e+00 2.561817026436400552e-02 3.223433168868280844e-03 4.224518698545847606e+00 1.185640585800238657e-02 2.401313229349030243e-01 2.569120741626514104e-02 2.401313229349030243e-01 -2.417999267578125000e+00 -6.551030662574758523e+00 1.384897892839439315e+01 6.668921975342681149e-05
1.186028591355614115e+00 1.782349088468787547e-03 1.167890151248399278e+01 2.443268916866871976e+00 1.324914224907648430e-01 6.205304714484618955e+00 1.733148815478329982e-02 4.512282869852800304e-02 1.768611903221143145e+00 1.209075219905051193e-02 2.401365024849625440e-01 1.881182110281363548e-02 2.401365024849625440e-01 -9.798278808593750000e-01 -6.494314944986375515e+00 1.384897892839439315e+01 2.973561032090189988e-04
1.185955543809095625e+00 8.426221126427274263e-03 1.161046817611545023e+01 2.487526983732145869e+00 3.719626555147973690e+00 6.280660500447890371e+00 3.791774048174355316e-02 1.075835861719661238e-02 5.682871683423956100e+00 1.217613487691861750e-02 2.412888734765145093e-01 1.000000000000000056e-01 2.412888734765145093e-01 -2.695129394531250000e+00 -6.452828310256728095e+00 1.384897892839439315e+01 5.576327743964566041e-05
1.186520438829376856e+00 3.659144381599332887e-03 1.166800914628720953e+01 2.158622466355190728e+00 -2.156505184039557932e+00 6.072492609533377106e+00 3.297985479510859297e-02 4.721590647620532190e-03 4.857073413255929673e+00 1.065759211686584905e-02 2.404046019739893847e-01 9.824695447500541494e-05 2.404046019739893847e-01 -5.644287109375000000e+00 -6.567524956397400082e+00 1.384897892839439315e+01 2.604553296817948805e-06
1.186705754336397911e+00 1.290863505147834536e-03 1.169563869959846159e+01 2.453656840409196960e+00 5.306988475034231101e+00 6.157422505367825316e+00 1.140472142890614979e-02 4.630225277217028118e-02 5.658011921536925115e+00 1.217388560965778320e-02 2.399638053821733785e-01 1.000000000000000056e-01 2.399638053821733785e-01 -8.634643554687500000e-01 -6.520212643978474887e+00 1.384897892839439315e+01 3.255109975382429726e-04
1.186334369005207057e+00 1.688791897251339883e-03 1.169178444899901770e+01 1.880598355108645814e+00 3.530863118445804361e+00 6.477785708911964591e+00 4.231850925293675209e-02 8.778628591077804882e-03 5.574225016577035952e+00 9.328146081851321561e-03 2.399667713291189775e-01 1.000000000000000056e-01 2.399667713291189775e-01 -7.949035644531250000e+00 -6.345190777770937096e+00 1.384897892839439315e+01 3.246027424675181168e-07
1.186475977606239240e+00 5.589195502811470989e-04 1.170148372928534108e+01 2.284477016247353554e+00 -1.866800730860677771e+00 6.128075840535394114e+00 1.592700145166436529e-02 4.521698631250080369e-02 2.625765613468180604e-01 1.135038622267299686e-02 2.398249505394211556e-01 1.907928271602558293e-04 2.398249505394211556e-01 -3.054687500000000000e+00 -6.536674476971931824e+00 1.384897892839439315e+01 3.579152988967076684e-05
1.186237432224956700e+00 3.616358036379592553e-03 1.165228780068997416e+01 2.467165112102308377e+00 -4.515423461811930217e+00 6.201976610391705336e+00 1.980047332361391937e-02 1.023280965930911668e-02 3.593017041985740789e+00 1.214193606840174335e-02 2.406283493745188240e-01 4.138132922915895054e-07 2.406283493745188240e-01 -1.558074951171875000e+00 -6.495963623479554805e+00 1.384897892839439315e+01 1.665065540773165475e-04
1.185947805767277208e+00 1.444948019102157508e-03 1.167965186755036022e+01 2.456754814481941551e+00 -1.676847577678258538e+00 6.386621333224649533e+00 1.313390999050735239e-02 1.979172785493485409e-02 3.708976526968434939e-01 1.215974792416561930e-02 2.401102191420568244e-01 2.899144224823371491e-04 2.401102191420568244e-01 -1.627471923828125000e+00 -6.394993582446120151e+00 1.384897892839439315e+01 1.718475490162764342e-04
1.186428448966702298e+00 1.591170567048274479e-03 1.169579767204812804e+01 2.496362918107383866e+00 2.899552551036368886e+00 5.961641191961237318e+00 3.580940049571069983e-02 2.947215705029131161e-02 6.735332739973992844e+00 1.239119018443350130e-02 2.399138435627860000e-01 1.000000000000000056e-01 2.399138435627860000e-01 -1.637542724609375000e+00 -6.629616635858772256e+00 1.384897892839439315e+01 1.345470412085860205e-04
1.185864107763723307e+00 3.461273146984674386e-03 1.165188653394519136e+01 2.269409391600595960e+00 9.059921578232282835e-01 6.067200596176832939e+00 4.806036291338484923e-02 4.101099414838613871e-02 7.261491012978211756e+00 1.117268444754067336e-02 2.405721701278257796e-01 1.000000000000000056e-01 2.405721701278257796e-01 -4.955535888671875000e+00 -6.571028698630302145e+00 1.384897892839439315e+01 5.168118314148044270e-06
1.186024986126422931e+00 2.179403458431482341e-03 1.166941440522113282e+01 2.291755870655050931e+00 3.416909287291169495e+00 6.064153128070425502e+00 2.751610383461680978e-02 2.086344712270676513e-02 6.270151064079162673e+00 1.131883427828180196e-02 2.402989278908880255e-01 1.000000000000000056e-01 2.402989278908880255e-01 -4.025543212890625000e+00 -6.572600297448071949e+00 1.384897892839439315e+01 1.307797786742803651e-05
1.185696371114525416e+00 7.824224005342718304e-04 1.168826159349891647e+01 2.495609418774976440e+00 6.467155465457929964e-01 6.112148155762580082e+00 2.216055053929766663e-02 1.352224663745667417e-02 1.367281760106449084e+00 1.237724302405926978e-02 2.399199300700433080e-01 6.167860644792380609e-02 2.399199300700433080e-01 -2.337951660156250000e-01 -6.546174389770646584e+00 1.384897892839439315e+01 5.953227475496428644e-04
1.186169701077520955e+00 2.079575589817442890e-03 1.168849421891589735e+01 2.485426678639520937e+00 1.066728203351711590e+00 6.239419831028810925e+00 1.834380120387334168e-02 2.085777846049032078e-03 1.244179368692074128e+00 1.232348496548710606e-02 2.399949811494090923e-01 1.000000000000000056e-01 2.399949811494090923e-01 -1.685668945312500000e+00 -6.475393569286778117e+00 1.384897892839439315e+01 1.496068319369915905e-04
1.185567472330679273e+00 5.671348160383722463e-03 1.164273266948259078e+01 2.310349457843609677e+00 8.686708953668278443e-01 6.286020900000859335e+00 1.960653292268182968e-02 3.291893550734900642e-02 4.561530681560578948e+00 1.137183099195993030e-02 2.406739770505986753e-01 1.000000000000000056e-01 2.406739770505986753e-01 -4.935150146484375000e+00 -6.450261122268165614e+00 1.384897892839439315e+01 5.951611233066228971e-06
1.185918654068741418e+00 4.162391598968383233e-03 1.166641693808948332e+01 2.375899077707597229e+00 -2.531759909569104128e+00 6.387695520282179018e+00 3.618673937101357652e-02 4.383280866833338951e-02 5.362247308397011913e+00 1.173908874052230836e-02 2.403287002306433995e-01 4.254997885583005935e-05 2.403287002306433995e-01 -5.345214843750000000e+00 -6.394414968815290479e+00 1.384897892839439315e+01 4.176374119454824692e-06
1.185688416230651354e+00 4.265120872469208707e-03 1.165596078053600948e+01 2.469591539109438738e+00 6.443687872519737070e+00 6.261549626058354967e+00 4.470538829370015316e-02 1.159026049251485335e-02 6.481631880857570138e+00 1.217803586799420627e-02 2.404699309403575125e-01 1.000000000000000056e-01 2.404699309403575125e-01 -2.012207031250000000e+00 -6.463611800344274627e+00 1.384897892839439315e+01 1.092080103561916414e-04
1.185832787524972565e+00 2.357649512903351244e-02 1.143916008327015632e+01 2.377837370810802486e+00 -4.893146015451339537e+00 6.232707684599898101e+00 3.236527746454524387e-03 3.523070233846264249e-02 5.041612460937019868e+00 1.146592537874770168e-02 2.441570245109486725e-01 1.802160212786051777e-07 2.441570245109486725e-01 -6.982086181640625000e+00 -6.478711049493221630e+00 1.384897892839439315e+01 7.469746844797496894e-07
1.186422973127602809e+00 1.711788948619929465e-03 1.167900601864379695e+01 2.488454059965324650e+00 -3.136840766849159579e+00 6.326662814615030328e+00 2.072885908437616803e-02 4.312186565758519691e-02 5.426183671553557630e+00 1.230812714313179318e-02 2.402016624016832247e-01 9.991069607618463131e-06 2.402016624016832247e-01 -1.061798095703125000e+00 -6.427313408428468655e+00 1.384897892839439315e+01 2.929382227686323911e-04
1.185974131579365265e+00 1.428168866432064175e-03 1.168866020132213279e+01 2.459275991865528255e+00 2.477635527324810738e+00 6.201891751750502557e+00 8.223784223261894691e-03 4.609654452495015597e-02 7.994359956064634787e+00 1.219517198568864300e-02 2.399596994206582012e-01 1.000000000000000056e-01 2.399596994206582012e-01 -9.079895019531250000e-01 -6.496245692530384197e+00 1.384897892839439315e+01 3.188873968826876960e-04
1.186385682648253059e+00 2.173997255632528162e-03 1.169499802684310197e+01 2.439595140580497645e+00 -9.190214511178818046e-01 6.239091400552773337e+00 3.394024507116143868e-02 1.726747802309032756e-02 3.258987969230039639e+00 1.210995638389114268e-02 2.399196543110169166e-01 1.752226789876675959e-03 2.399196543110169166e-01 -3.296112060546875000e+00 -6.475391798621085826e+00 1.384897892839439315e+01 2.989135738537107212e-05
1.185845094495473040e+00 7.430325234039926105e-03 1.161141649308350310e+01 2.484591923736668928e+00 4.280444737056163795e+00 6.321890462048324721e+00 2.941261897688167079e-02 1.068207923713659045e-02 6.196830289005029968e+00 1.215271282099762012e-02 2.412583236653015328e-01 1.000000000000000056e-01 2.412583236653015328e-01 -2.341613769531250000e+00 -6.430348481191641596e+00 1.384897892839439315e+01 8.121589639363573825e-05
1.186501315022834291e+00 1.015960334825543286e-02 1.158833578978038403e+01 2.485059976568252615e+00 3.525461450336021318e+00 6.540937423755812219e+00 2.429752387703584121e-02 3.612176702021471092e-02 1.960033344076900441e+00 1.211210531698681328e-02 2.417589342259731100e-01 1.000000000000000056e-01 2.417589342259731100e-01 -4.703186035156250000e+00 -6.310851340347489291e+00 1.384897892839439315e+01 8.628199680927962220e-06
1.185742576741733556e+00 1.929668932186423698e-04 1.170407861375270464e+01 2.477494527332647856e+00 -6.952205588304543049e-01 6.247997822289635295e+00 1.935720522472294050e-02 1.582879535740390475e-02 3.200192639565925035e+00 1.232626926705370288e-02 2.396564027324257218e-01 2.875703274624830975e-03 2.396564027324257218e-01 -1.055267333984375000e+00 -6.471038812243664395e+00 1.384897892839439315e+01 2.822426327691425160e-04
1.186273588228043296e+00 1.456636380611335503e-03 1.169350960194092792e+01 2.488821942115229113e+00 2.997433053815276027e-01 5.692079374133942160e+00 4.450437362340304431e-02 6.107869442533489165e-03 5.059836589354263836e+00 1.234980521079745083e-02 2.399270546401651716e-01 2.832154492399705306e-02 2.399270546401651716e-01 -2.631622314453125000e+00 -6.782569155502341296e+00 1.384897892839439315e+01 4.272916794875395433e-05
1.185890664763689761e+00 5.996550577942390790e-03 1.164019433842113038e+01 2.449881146520668906e+00 5.026214649447988236e+00 5.859685759321241250e+00 3.638731845042413038e-02 7.500157117462771632e-03 2.981457943954159973e-01 1.204914929286307265e-02 2.407717963853807652e-01 1.000000000000000056e-01 2.407717963853807652e-01 -3.502288818359375000e+00 -6.687489281662092999e+00 1.384897892839439315e+01 1.967394451965181476e-05
1.186095335338516410e+00 1.028372241364157447e-02 1.157907019993062470e+01 2.385546128100490826e+00 -1.550081079352269020e+00 6.252256023740216051e+00 1.050697959520159250e-02 5.200793850380790867e-02 4.289885250355074398e+00 1.160878102426758998e-02 2.418510399543278844e-01 3.855240420858790430e-04 2.418510399543278844e-01 -4.200195312500000000e+00 -6.468272499193327363e+00 1.384897892839439315e+01 1.218987190740226507e-05
1.186664633384502565e+00 5.136802923070261061e-03 1.164416752540469879e+01 2.401958551784840967e+00 -1.133265398018761250e+00 6.369470408490718327e+00 4.041298155469379844e-02 2.460423578400047686e-03 2.722155583896367581e+00 1.180274735409257703e-02 2.408375465545016247e-01 1.011863641035910116e-03 2.408375465545016247e-01 -3.169555664062500000e+00 -6.403705336012362359e+00 1.384897892839439315e+01 3.644529054856608977e-05
1.185716525479119765e+00 9.312739534748776943e-03 1.159462193855702949e+01 2.461793941012870413e+00 -1.582324435687509467e+00 6.210216101366317965e+00 3.667542366776239265e-02 3.707566246175844626e-02 6.410714806134862442e+00 1.202018266342687498e-02 2.415198316358025954e-01 3.664063809749216419e-04 2.415198316358025954e-01 -2.622222900390625000e+00 -6.491768272039581511e+00 1.384897892839439315e+01 5.768989768260190709e-05
1.186277645932154456e+00 7.763652086783301258e-03 1.162096904457709989e+01 2.461342384748121948e+00 -5.627797660996942675e-01 6.172940214461444697e+00 2.526945409073007992e-02 3.767218726812943813e-02 2.755391539186838656e+00 1.206383802323088630e-02 2.411642001782733913e-01 3.871847814983688484e-03 2.411642001782733913e-01 -2.488952636718750000e+00 -6.511915743314860450e+00 1.384897892839439315e+01 6.459938348009988424e-05
1.186380420524352663e+00 3.612016125080543807e-04 1.169272506200561956e+01 2.456565921038964095e+00 1.588206360372065973e+00 6.124404718740330544e+00 1.321064547505535446e-02 3.273742229412329729e-02 3.018347945662633869e+00 1.218436281463759763e-02 2.399592531188882161e-01 1.000000000000000056e-01 2.399592531188882161e-01 -9.080200195312500000e-01 -6.538792527565082224e+00 1.384897892839439315e+01 3.055950012610733624e-04
1.185946593344363142e+00 8.181682151616697513e-03 1.160501926828174390e+01 2.432172714844659911e+00 -3.311160475302086681e+00 5.818687230939295851e+00 5.078611080140164706e-03 7.917509959821711352e-03 5.806741962579727634e+00 1.188540046669663008e-02 2.413836057351730346e-01 6.755095809001391955e-06 2.413836057351730346e-01 -4.353942871093750000e+00 -6.710627842205109772e+00 1.384897892839439315e+01 8.203021268810681393e-06
1.186183634005878229e+00 5.211152804107592289e-03 1.163974052998749364e+01 2.455721614966614119e+00 3.739234994673896750e-01 5.665271020898186904e+00 3.680189863159631647e-02 1.193405304858839722e-02 2.274712478624222101e+00 1.206355736309113434e-02 2.408322315330185814e-01 3.262336936698458090e-02 2.408322315330185814e-01 -4.096923828125000000e+00 -6.797972191351225213e+00 1.384897892839439315e+01 9.719918441536302487e-06
